"";"tu_manpre";"tu_manpreb";"tu_manpeer";"tu_manpeerb";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"gender";"age";"knowledge_peerreview";"knowledge_preprints";"familiar";"education";"condition";"credibility"
"159";"";"";"5";"";6;7;3;6;6;5;6;"1";41;"1";"1";5;3;"peer-review";5,6
"161";"";"";"3";"5";5;6;5;4;6;6;5;"1";30;"2";"2";5;3;"peer-review";5,2
"162";"";"";"5";"";4;4;4;5;5;4;5;"1";40;"2";"2";4;3;"peer-review";4,4
"163";"";"";"5";"";5;6;1;5;3;3;3;"2";23;"1";"2";5;3;"peer-review";4
"166";"";"";"5";"";6;6;6;6;6;7;7;"2";30;"1";"2";5;3;"peer-review";6
"171";"";"";"5";"";6;3;5;6;3;2;3;"1";24;"2";"2";2;3;"peer-review";4,6
"172";"";"";"5";"";4;4;5;6;4;5;5;"2";28;"2";"2";2;3;"peer-review";4,6
"173";"";"";"5";"";5;7;4;6;5;6;6;"2";43;"1";"2";4;3;"peer-review";5,4
"178";"";"";"5";"";6;4;5;7;5;6;6;"2";30;"1";"1";7;2;"peer-review";5,4
"181";"";"";"3";"5";6;7;6;5;5;5;6;"1";60;"1";"1";5;3;"peer-review";5,8
"183";"";"";"5";"";5;6;5;6;5;6;5;"1";32;"1";"1";4;4;"peer-review";5,4
"184";"";"";"5";"";6;3;2;5;6;3;4;"2";46;"1";"2";4;4;"peer-review";4,4
"186";"";"";"5";"";4;2;2;4;2;3;2;"1";48;"1";"1";6;4;"peer-review";2,8
"187";"";"";"5";"";5;6;3;1;2;6;6;"2";46;"2";"2";1;2;"peer-review";3,4
"189";"";"";"5";"";6;6;4;7;6;5;6;"2";41;"2";"2";2;4;"peer-review";5,8
"194";"";"";"5";"";7;4;4;6;7;5;5;"1";56;"1";"1";4;3;"peer-review";5,6
"195";"";"";"5";"";7;4;2;5;2;1;3;"1";58;"1";"2";4;4;"peer-review";4
"196";"";"";"5";"";6;6;7;6;6;6;5;"1";56;"2";"2";5;3;"peer-review";6,2
"200";"";"";"5";"";7;4;4;7;7;7;7;"2";23;"1";"2";5;3;"peer-review";5,8
"201";"";"";"5";"";5;3;5;3;5;6;5;"2";28;"2";"2";3;3;"peer-review";4,2
"210";"";"";"5";"";7;5;5;7;2;3;6;"2";42;"1";"2";6;2;"peer-review";5,2
"211";"";"";"5";"";5;7;4;6;5;4;4;"2";65;"2";"2";2;3;"peer-review";5,4
"213";"";"";"5";"";5;4;1;2;1;1;1;"2";55;"1";"2";3;4;"peer-review";2,6
"214";"";"";"5";"";3;5;2;6;5;2;4;"2";52;"1";"2";6;4;"peer-review";4,2
"215";"";"";"5";"";5;4;3;4;4;4;5;"1";37;"1";"1";6;4;"peer-review";4
"231";"";"";"5";"";5;5;3;6;5;5;5;"1";52;"1";"2";2;2;"peer-review";4,8
"235";"";"";"5";"";5;5;6;5;6;5;5;"1";37;"1";"2";5;4;"peer-review";5,4
"238";"";"";"5";"";7;5;1;7;1;6;4;"2";63;"2";"2";1;3;"peer-review";4,2
"239";"";"";"5";"";7;6;6;5;6;6;7;"2";25;"2";"2";6;4;"peer-review";6
"242";"";"";"5";"";4;4;1;1;1;2;2;"2";35;"1";"1";6;3;"peer-review";2,2
"245";"";"";"5";"";5;5;3;6;4;3;5;"2";65;"2";"2";3;2;"peer-review";4,6
"248";"";"";"5";"";4;5;2;2;1;3;3;"1";30;"1";"2";5;4;"peer-review";2,8
"249";"";"";"5";"";6;5;1;5;6;4;5;"2";30;"1";"2";6;4;"peer-review";4,6
"250";"";"";"5";"";4;6;4;6;4;4;5;"2";38;"2";"2";1;3;"peer-review";4,8
"251";"";"";"5";"";5;6;4;6;3;4;4;"2";40;"1";"2";4;4;"peer-review";4,8
"252";"";"";"5";"";5;6;5;6;5;5;5;"1";28;"2";"2";2;4;"peer-review";5,4
"255";"";"";"5";"";6;4;2;6;4;7;4;"1";50;"2";"2";1;2;"peer-review";4,4
"256";"";"";"5";"";4;6;2;5;5;7;7;"2";24;"1";"2";2;3;"peer-review";4,4
"257";"";"";"5";"";7;5;6;7;3;7;7;"1";26;"1";"2";1;3;"peer-review";5,6
"258";"";"";"5";"";7;7;7;7;7;7;6;"2";45;"1";"1";6;3;"peer-review";7
"259";"";"";"5";"";3;6;1;3;1;2;7;"1";62;"1";"1";3;4;"peer-review";2,8
"261";"";"";"5";"";4;4;5;6;5;4;5;"1";35;"1";"2";4;3;"peer-review";4,8
"262";"";"";"5";"";7;5;3;5;3;4;6;"1";56;"1";"2";3;3;"peer-review";4,6
"264";"";"";"5";"";3;3;3;5;6;5;6;"1";40;"2";"2";5;4;"peer-review";4
"267";"";"";"7";"5";5;5;5;3;4;3;5;"1";36;"2";"2";5;3;"peer-review";4,4
"269";"";"";"4";"5";5;5;4;5;3;6;6;"1";29;"2";"2";4;3;"peer-review";4,4
"272";"";"";"5";"";6;4;3;3;2;5;6;"1";26;"1";"2";4;3;"peer-review";3,6
"274";"";"";"5";"";6;5;4;5;5;4;4;"2";42;"2";"2";3;3;"peer-review";5
"277";"";"";"5";"";6;5;5;6;4;5;5;"2";30;"2";"2";2;2;"peer-review";5,2
"278";"";"";"5";"";5;6;4;6;3;4;5;"2";24;"2";"2";1;3;"peer-review";4,8
"279";"";"";"5";"";6;5;2;7;7;5;7;"2";45;"1";"2";5;4;"peer-review";5,4
"282";"";"";"5";"";6;6;6;6;6;6;5;"1";33;"1";"1";7;3;"peer-review";6
"283";"";"";"5";"";5;4;2;4;2;3;3;"2";31;"1";"2";2;3;"peer-review";3,4
"285";"";"";"5";"";5;5;2;6;3;5;5;"1";40;"1";"2";2;3;"peer-review";4,2
"289";"";"";"1";"5";6;6;6;6;6;6;5;"1";30;"1";"1";7;4;"peer-review";6
"292";"";"";"5";"";6;6;3;6;4;4;5;"3";34;"1";"2";2;3;"peer-review";5
"301";"";"";"5";"";4;4;1;1;3;3;4;"2";40;"2";"2";2;3;"peer-review";2,6
"302";"";"";"5";"";6;5;3;5;5;5;5;"2";60;"2";"2";1;3;"peer-review";4,8
"308";"";"";"5";"";4;4;5;3;3;5;4;"2";63;"2";"2";2;2;"peer-review";3,8
"310";"";"";"5";"";7;7;5;6;4;3;6;"1";30;"2";"2";3;2;"peer-review";5,8
"313";"";"";"5";"";5;6;3;6;3;5;5;"2";36;"2";"2";2;3;"peer-review";4,6
"315";"";"";"5";"";5;6;3;4;6;5;5;"2";36;"2";"2";2;3;"peer-review";4,8
"316";"";"";"5";"";4;3;2;4;3;1;1;"1";27;"1";"2";2;2;"peer-review";3,2
"319";"";"";"5";"";3;4;3;5;4;2;4;"2";65;"1";"2";3;2;"peer-review";3,8
"321";"";"";"7";"5";7;7;6;6;5;7;6;"1";31;"1";"1";6;4;"peer-review";6,2
"322";"";"";"5";"";7;6;6;6;7;6;6;"2";27;"2";"2";5;3;"peer-review";6,4
"331";"";"";"5";"";4;7;6;4;7;6;7;"2";39;"2";"2";5;3;"peer-review";5,6
"333";"";"";"1";"5";5;7;6;7;6;6;7;"1";54;"1";"1";6;3;"peer-review";6,2
"337";"";"";"5";"";5;5;5;5;2;3;3;"1";37;"1";"2";3;3;"peer-review";4,4
"341";"";"";"5";"";4;6;2;3;3;5;5;"2";63;"2";"2";1;2;"peer-review";3,6
"342";"";"";"5";"";6;7;7;6;7;7;6;"1";30;"1";"1";7;4;"peer-review";6,6
"351";"";"";"5";"";5;4;3;4;3;3;4;"2";39;"2";"2";1;2;"peer-review";3,8
"352";"";"";"5";"";5;4;3;2;5;5;4;"2";43;"1";"1";4;3;"peer-review";3,8
"353";"";"";"5";"";6;7;7;6;6;6;7;"2";36;"1";"2";7;3;"peer-review";6,4
"359";"";"";"5";"";5;6;2;5;3;5;5;"2";37;"1";"2";2;3;"peer-review";4,2
"360";"";"";"5";"";7;2;3;4;5;6;7;"1";31;"1";"2";5;4;"peer-review";4,2
"362";"";"";"5";"";4;5;1;5;6;3;4;"1";42;"2";"2";4;4;"peer-review";4,2
"363";"";"";"8";"5";6;6;6;5;5;6;5;"1";39;"1";"1";6;4;"peer-review";5,6
"365";"";"";"8";"5";7;6;5;6;1;6;7;"2";33;"1";"1";7;3;"peer-review";5
"366";"";"";"5";"";6;6;1;5;5;3;3;"1";61;"1";"2";2;2;"peer-review";4,6
"368";"";"";"5";"";5;4;1;6;3;3;5;"1";55;"1";"1";5;3;"peer-review";3,8
"370";"";"";"5";"";3;3;3;4;1;2;3;"2";30;"1";"1";6;4;"peer-review";2,8
"374";"";"";"5";"";5;7;6;6;3;6;5;"1";36;"1";"1";6;3;"peer-review";5,4
"375";"";"";"5";"";5;5;5;6;5;5;6;"1";32;"2";"2";7;4;"peer-review";5,2
"378";"";"";"5";"";7;7;4;7;4;6;6;"1";43;"1";"1";6;5;"peer-review";5,8
"383";"";"";"5";"";7;3;2;7;1;3;3;"1";49;"1";"2";5;3;"peer-review";4
"384";"";"";"5";"";6;4;2;3;5;3;7;"2";42;"1";"2";6;3;"peer-review";4
"386";"";"";"5";"";3;6;2;6;5;5;4;"1";49;"1";"1";5;4;"peer-review";4,4
"389";"";"";"5";"";4;5;1;3;1;3;5;"1";60;"1";"2";3;3;"peer-review";2,8
"397";"";"";"5";"";6;5;7;6;4;6;6;"1";37;"2";"2";4;4;"peer-review";5,6
"398";"";"";"5";"";6;4;6;5;5;6;4;"1";26;"1";"2";5;3;"peer-review";5,2
"400";"";"";"5";"";7;7;4;7;5;6;7;"2";45;"1";"2";4;3;"peer-review";6
"401";"";"";"5";"";4;6;5;6;4;5;4;"2";24;"2";"2";1;2;"peer-review";5
"404";"";"";"5";"";7;7;4;5;6;3;4;"2";40;"1";"1";5;4;"peer-review";5,8
"405";"";"";"5";"";5;6;3;4;5;5;6;"2";34;"2";"1";4;3;"peer-review";4,6
"409";"";"";"5";"";7;7;2;7;1;5;6;"2";45;"2";"2";1;3;"peer-review";4,8
"410";"";"";"5";"";6;4;2;4;2;3;5;"2";25;"1";"2";2;3;"peer-review";3,6
"412";"";"";"5";"";3;5;2;5;3;6;6;"2";65;"1";"2";5;3;"peer-review";3,6
"418";"";"";"5";"";6;6;5;6;5;5;6;"1";31;"1";"1";4;3;"peer-review";5,6
"419";"";"";"5";"";6;6;6;5;3;6;5;"1";45;"1";"1";5;3;"peer-review";5,2
"421";"";"";"5";"";5;6;5;5;6;7;6;"1";24;"2";"2";5;3;"peer-review";5,4
"422";"";"";"5";"";6;7;4;4;5;6;6;"1";31;"1";"2";2;3;"peer-review";5,2
"429";"";"";"5";"";6;3;5;2;3;6;6;"1";52;"1";"1";5;3;"peer-review";3,8
"432";"";"";"5";"";6;3;6;5;5;7;6;"2";35;"2";"2";2;3;"peer-review";5
"434";"";"";"5";"";6;1;1;7;1;2;4;"2";36;"1";"1";5;3;"peer-review";3,2
"436";"";"";"5";"";5;7;4;4;5;3;5;"1";21;"1";"1";3;3;"peer-review";5
"437";"";"";"5";"";5;6;3;4;6;5;3;"1";22;"1";"1";6;3;"peer-review";4,8
"440";"";"";"5";"";3;5;5;4;6;4;5;"2";25;"1";"1";4;3;"peer-review";4,6
"441";"";"";"5";"";6;7;2;6;5;4;5;"2";53;"1";"2";2;3;"peer-review";5,2
"444";"";"";"5";"";7;3;7;6;4;4;6;"1";24;"2";"2";1;3;"peer-review";5,4
"447";"";"";"5";"";6;6;6;6;6;6;7;"2";43;"1";"1";6;4;"peer-review";6
"449";"";"";"5";"";7;7;1;7;1;4;4;"2";45;"1";"2";2;3;"peer-review";4,6
"451";"";"";"5";"";7;6;3;7;6;7;7;"2";38;"1";"2";5;2;"peer-review";5,8
"454";"";"";"5";"";6;2;5;7;2;7;7;"1";36;"2";"2";5;3;"peer-review";4,4
"465";"";"";"5";"";6;4;2;5;5;5;6;"1";58;"1";"2";3;3;"peer-review";4,4
"469";"";"";"5";"";6;5;3;5;4;3;4;"2";25;"1";"2";3;2;"peer-review";4,6
"474";"";"";"5";"";7;7;6;7;7;6;6;"2";36;"1";"2";3;4;"peer-review";6,8
"477";"";"";"5";"";4;3;5;7;3;6;6;"1";31;"1";"2";1;2;"peer-review";4,4
"481";"";"";"5";"";5;6;5;5;5;6;5;"1";30;"1";"1";5;4;"peer-review";5,2
"483";"";"";"5";"";7;6;6;6;7;7;7;"1";29;"1";"2";3;3;"peer-review";6,4
"484";"";"";"5";"";5;5;3;2;7;5;5;"2";24;"1";"2";3;2;"peer-review";4,4
"485";"";"";"3";"5";4;3;3;5;5;6;5;"2";25;"2";"2";5;3;"peer-review";4
"487";"";"";"5";"";7;5;7;6;7;4;2;"1";29;"2";"2";2;3;"peer-review";6,4
"490";"";"";"5";"";4;7;1;4;1;3;3;"1";35;"1";"2";1;2;"peer-review";3,4
"491";"";"";"5";"";5;5;6;5;6;6;5;"2";65;"1";"2";5;3;"peer-review";5,4
"495";"";"";"5";"";5;6;4;6;4;3;4;"1";32;"1";"2";3;3;"peer-review";5
"496";"";"";"5";"";6;5;4;2;5;3;4;"1";24;"2";"2";3;2;"peer-review";4,4
"498";"";"";"5";"";6;3;4;5;5;4;5;"2";44;"2";"1";2;3;"peer-review";4,6
"504";"";"";"5";"";7;7;7;7;4;7;7;"2";34;"1";"2";7;2;"peer-review";6,4
"510";"";"";"5";"";6;4;3;6;3;5;6;"1";27;"1";"2";3;2;"peer-review";4,4
"513";"";"";"5";"";2;6;1;5;1;2;2;"1";31;"1";"2";2;3;"peer-review";3
"514";"";"";"5";"";7;6;6;5;6;7;6;"2";59;"1";"1";5;3;"peer-review";6
"515";"";"";"5";"";6;6;6;5;5;2;6;"2";35;"2";"2";5;3;"peer-review";5,6
"516";"";"";"5";"";5;6;4;5;4;6;5;"2";24;"1";"2";1;2;"peer-review";4,8
"517";"";"";"5";"";2;7;6;4;5;3;4;"2";25;"1";"1";7;4;"peer-review";4,8
"519";"";"";"8";"5";6;7;6;6;6;7;6;"1";31;"1";"1";6;3;"peer-review";6,2
"520";"";"";"5";"";5;3;1;5;1;2;2;"2";45;"2";"2";1;3;"peer-review";3
"523";"";"";"5";"";6;4;5;3;7;7;5;"1";58;"1";"1";7;4;"peer-review";5
"524";"";"";"5";"";5;3;2;6;6;5;6;"1";54;"1";"2";5;2;"peer-review";4,4
"527";"";"";"5";"";6;3;1;5;1;1;1;"1";46;"1";"2";5;2;"peer-review";3,2
"539";"";"";"5";"";4;4;4;4;4;4;4;"2";27;"2";"2";4;2;"peer-review";4
"540";"";"";"5";"";5;5;3;2;5;3;4;"1";28;"1";"2";2;3;"peer-review";4
"542";"";"";"5";"";6;6;3;6;2;5;5;"1";24;"2";"2";1;2;"peer-review";4,6
"549";"";"";"5";"";4;5;3;5;6;5;6;"2";30;"2";"2";3;3;"peer-review";4,6
"552";"";"";"5";"";7;6;7;5;5;6;6;"1";32;"2";"2";7;4;"peer-review";6
"555";"";"";"5";"";6;6;6;6;5;5;6;"1";30;"2";"2";4;3;"peer-review";5,8
"561";"";"";"7";"5";5;5;6;5;5;5;6;"2";40;"2";"2";5;3;"peer-review";5,2
"562";"";"";"5";"";6;6;2;5;4;5;6;"1";39;"1";"2";5;3;"peer-review";4,6
"567";"";"";"5";"";4;5;5;6;5;5;6;"1";38;"1";"1";7;3;"peer-review";5
"572";"";"";"5";"";6;5;6;7;5;6;6;"1";29;"1";"2";3;2;"peer-review";5,8
"573";"";"";"5";"";1;1;1;1;1;1;1;"1";34;"1";"2";7;2;"peer-review";1
"578";"";"";"5";"";5;4;1;6;2;6;4;"2";44;"2";"2";2;2;"peer-review";3,6
"579";"";"";"5";"";6;6;5;6;6;6;7;"1";27;"1";"2";6;4;"peer-review";5,8
"580";"";"";"3";"5";7;6;7;6;7;6;7;"1";30;"2";"2";7;4;"peer-review";6,6
"583";"";"";"5";"";6;3;4;6;6;5;5;"2";28;"1";"2";3;3;"peer-review";5
"586";"";"";"5";"";7;3;5;3;2;4;4;"2";31;"1";"2";2;3;"peer-review";4
"594";"";"";"5";"";4;4;6;5;4;3;6;"1";41;"1";"2";4;2;"peer-review";4,6
"595";"";"";"5";"";5;3;2;6;3;3;4;"2";21;"1";"2";3;2;"peer-review";3,8
"596";"";"";"5";"";5;3;3;4;7;4;5;"1";22;"1";"2";3;3;"peer-review";4,4
"604";"";"";"5";"";6;5;1;6;1;1;2;"2";68;"1";"2";3;2;"peer-review";3,8
"606";"";"";"5";"";7;7;1;4;1;5;6;"2";30;"2";"2";1;2;"peer-review";4
"608";"";"";"8";"5";6;7;6;6;6;6;6;"2";53;"2";"2";6;3;"peer-review";6,2
"611";"";"";"5";"";7;6;6;6;6;6;7;"1";32;"1";"2";6;3;"peer-review";6,2
"620";"";"";"5";"";7;5;1;5;2;3;2;"1";41;"1";"2";2;4;"peer-review";4
"625";"";"";"3";"5";7;6;6;6;7;6;7;"1";30;"2";"2";6;4;"peer-review";6,4
"630";"";"";"1";"5";7;7;6;5;6;7;6;"1";30;"2";"2";5;4;"peer-review";6,2
"632";"";"";"5";"";6;7;2;6;2;5;6;"1";56;"1";"2";5;2;"peer-review";4,6
"634";"";"";"7";"5";5;5;5;5;5;5;5;"1";55;"2";"2";4;3;"peer-review";5
"635";"";"";"1";"5";6;6;7;5;7;6;7;"2";31;"1";"1";7;4;"peer-review";6,2
"639";"";"";"5";"";6;7;2;6;5;4;5;"1";36;"1";"2";1;2;"peer-review";5,2
"643";"";"";"5";"";3;4;2;5;4;4;4;"1";24;"2";"2";1;2;"peer-review";3,6
"645";"";"";"5";"";6;5;3;5;6;5;6;"2";38;"1";"1";5;3;"peer-review";5
"649";"";"";"7";"5";6;5;6;7;6;6;6;"1";40;"1";"1";6;3;"peer-review";6
"652";"";"";"5";"";5;5;3;4;2;3;4;"1";29;"1";"1";5;3;"peer-review";3,8
"657";"";"";"5";"";7;7;6;7;5;6;6;"1";38;"1";"1";6;3;"peer-review";6,4
"660";"";"";"5";"";6;6;4;5;3;4;5;"2";34;"1";"2";3;3;"peer-review";4,8
"667";"";"";"5";"";2;6;4;6;6;2;6;"1";36;"1";"2";6;3;"peer-review";4,8
"668";"";"";"5";"";6;6;3;6;6;5;5;"2";31;"1";"2";2;3;"peer-review";5,4
"669";"";"";"5";"";3;5;1;6;3;5;5;"1";51;"1";"2";1;3;"peer-review";3,6
"670";"";"";"5";"";4;2;2;6;6;3;4;"1";34;"1";"1";4;2;"peer-review";4
"678";"";"";"5";"";1;6;2;7;6;4;4;"2";65;"2";"2";1;2;"peer-review";4,4
"680";"";"";"5";"";1;1;1;1;1;1;4;"1";26;"1";"2";2;2;"peer-review";1
"682";"";"";"5";"";6;6;6;5;6;NA;NA;"";NA;"";"";NA;NA;"peer-review";5,8
"695";"";"";"5";"";6;3;2;5;4;6;2;"2";70;"1";"2";4;4;"peer-review";4
"700";"";"";"5";"";6;6;5;5;5;6;6;"1";28;"1";"2";5;3;"peer-review";5,4
"702";"";"";"5";"";5;3;1;4;2;2;3;"2";32;"1";"2";2;3;"peer-review";3
"708";"";"";"5";"";6;6;5;6;6;5;6;"1";35;"1";"2";2;2;"peer-review";5,8
"712";"";"";"5";"";2;5;6;3;3;4;5;"1";28;"1";"1";4;2;"peer-review";3,8
"715";"";"";"5";"";6;5;5;6;7;5;4;"2";45;"2";"2";4;2;"peer-review";5,8
"716";"";"";"5";"";4;4;3;5;6;6;5;"1";42;"2";"2";1;3;"peer-review";4,4
"717";"";"";"5";"";6;3;6;6;5;3;6;"2";24;"1";"1";5;4;"peer-review";5,2
"735";"";"";"5";"";5;6;6;7;7;6;6;"2";30;"2";"2";3;3;"peer-review";6,2
"738";"";"";"5";"";7;6;5;5;6;6;6;"1";31;"2";"2";1;3;"peer-review";5,8
"744";"";"";"5";"";5;4;1;5;2;3;6;"2";35;"1";"2";4;4;"peer-review";3,4
"751";"";"";"5";"";3;5;3;4;2;2;4;"3";31;"1";"1";6;4;"peer-review";3,4
"756";"";"";"5";"";6;6;5;6;6;6;6;"2";29;"2";"2";7;4;"peer-review";5,8
"5";"4";"";"";"";5;5;6;5;5;5;4;"2";26;"2";"2";5;3;"preprint_noinfo";5,2
"8";"4";"";"";"";5;5;7;6;7;7;7;"1";32;"1";"2";1;4;"preprint_noinfo";6
"10";"4";"";"";"";2;7;7;7;4;3;6;"1";26;"1";"2";1;3;"preprint_noinfo";5,4
"18";"4";"";"";"";6;6;2;6;2;5;4;"2";50;"1";"2";5;3;"preprint_noinfo";4,4
"20";"4";"";"";"";2;4;3;2;4;3;3;"2";25;"1";"2";2;4;"preprint_noinfo";3
"21";"4";"";"";"";5;6;4;5;5;4;4;"2";22;"1";"2";3;3;"preprint_noinfo";5
"29";"4";"";"";"";4;2;1;5;2;4;4;"1";36;"1";"2";2;3;"preprint_noinfo";2,8
"30";"4";"";"";"";6;4;4;6;4;5;5;"1";31;"1";"2";2;3;"preprint_noinfo";4,8
"45";"4";"";"";"";7;5;1;7;2;4;4;"2";40;"1";"2";5;4;"preprint_noinfo";4,4
"46";"4";"";"";"";7;4;2;6;5;5;5;"2";29;"2";"2";1;3;"preprint_noinfo";4,8
"47";"5";"4";"";"";5;6;5;6;5;4;6;"1";26;"1";"2";7;3;"preprint_noinfo";5,4
"51";"7";"4";"";"";6;5;3;4;4;5;5;"1";26;"2";"2";1;4;"preprint_noinfo";4,4
"52";"4";"";"";"";7;2;3;4;5;5;5;"2";27;"1";"2";5;4;"preprint_noinfo";4,2
"54";"4";"";"";"";6;7;6;6;6;6;7;"2";32;"1";"2";6;4;"preprint_noinfo";6,2
"56";"4";"";"";"";4;4;5;4;5;5;5;"2";30;"1";"1";6;3;"preprint_noinfo";4,4
"58";"4";"";"";"";6;7;2;4;5;5;4;"1";32;"1";"1";5;2;"preprint_noinfo";4,8
"61";"4";"";"";"";6;2;2;5;5;4;5;"2";42;"1";"1";4;4;"preprint_noinfo";4
"66";"4";"";"";"";4;3;4;5;5;5;5;"1";42;"2";"2";3;3;"preprint_noinfo";4,2
"67";"4";"";"";"";5;3;7;6;4;6;7;"2";31;"2";"2";1;2;"preprint_noinfo";5
"69";"4";"";"";"";4;4;1;4;4;2;3;"2";42;"1";"2";2;2;"preprint_noinfo";3,4
"71";"4";"";"";"";5;4;3;5;5;5;4;"1";31;"1";"1";6;3;"preprint_noinfo";4,4
"72";"4";"";"";"";4;2;4;5;1;3;4;"1";29;"1";"2";6;2;"preprint_noinfo";3,2
"76";"4";"";"";"";6;6;5;7;6;6;7;"1";29;"2";"2";6;3;"preprint_noinfo";6
"78";"4";"";"";"";5;5;3;7;2;2;5;"1";64;"1";"2";3;3;"preprint_noinfo";4,4
"80";"4";"";"";"";6;4;5;3;4;4;5;"2";31;"1";"2";3;2;"preprint_noinfo";4,4
"82";"4";"";"";"";7;5;1;6;2;6;6;"2";50;"1";"2";6;3;"preprint_noinfo";4,2
"84";"7";"4";"";"";6;6;6;6;7;6;5;"1";25;"2";"2";6;4;"preprint_noinfo";6,2
"86";"4";"";"";"";4;4;4;4;4;3;3;"1";36;"1";"2";4;4;"preprint_noinfo";4
