"";"tuman_author";"tuman_authorb";"tu_warningauthor1";"tu_warningauthor2";"tu_warningauthor3";"tu_warningauthor1b";"tu_warningauthor2b";"tu_warningauthor3b";"tu_warningext1";"tu_warningext2";"tu_warningext3";"tu_warningext1b";"tu_warningext2b";"tu_warningext3b";"tu_manext";"tu_manextb";"tu_manpre";"tu_manpreb";"tu_manpeer";"tu_manpeerb";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"quality_control";"standard_procedure";"gender";"gender_3_TEXT";"age";"knowledge_peerreview";"knowledge_preprints";"familiar";"education";"condition";"credibility"
"30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;3;1;6;2;3;4;"2";"";52;"2";"2";3;3;"preprint_noinfo";3,4
"31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";2;3;2;3;2;1;5;"2";"";34;"1";"2";4;4;"peer-review";2,4
"32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;4;5;5;3;5;4;"2";"";27;"1";"2";3;3;"preprint_noinfo";4,8
"33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;7;6;6;6;5;6;"2";"";25;"2";"2";2;3;"preprint_noinfo";5,8
"37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;4;4;4;4;4;4;"2";"";40;"2";"2";2;2;"peer-review";4
"39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;5;5;5;4;6;"2";"";29;"2";"2";1;2;"peer-review";5
"40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;1;7;1;6;5;"2";"";45;"2";"2";1;2;"peer-review";4,6
"43";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;4;4;5;5;6;"2";"";36;"2";"2";6;3;"preprint_noinfo";5
"47";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;6;6;5;5;6;"1";"";60;"2";"2";6;4;"preprint_noinfo";5,6
"48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;3;5;5;1;3;4;"2";"";28;"1";"1";3;4;"peer-review";3,6
"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;1;7;7;5;6;"2";"";31;"1";"2";5;2;"peer-review";5,8
"56";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;2;3;4;3;2;"2";"";33;"2";"2";4;2;"peer-review";4
"58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;7;5;6;5;6;"2";"";26;"1";"2";7;3;"peer-review";5,6
"71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"4";"";"";6;5;6;4;5;5;6;"1";"";57;"2";"2";5;3;"preprint_noinfo";5,2
"74";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";6;7;6;6;6;6;6;"2";"";29;"1";"2";5;4;"peer-review";6,2
"76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;6;5;5;5;6;"1";"";33;"2";"2";5;3;"preprint_noinfo";5,4
"77";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";1;2;1;1;1;4;2;"1";"";21;"1";"2";3;2;"preprint_noinfo";1,2
"79";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;1;4;3;4;5;"2";"";48;"1";"2";2;3;"preprint_noinfo";4
"80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"4";"";"";6;5;7;6;7;6;7;"1";"";28;"2";"2";7;3;"preprint_noinfo";6,2
"81";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;6;3;6;5;4;6;"2";"";48;"1";"2";2;3;"peer-review";5,2
"83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;4;7;3;5;5;"2";"";22;"2";"2";1;2;"preprint_noinfo";4,6
"85";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;7;7;5;5;7;6;"1";"";62;"1";"1";7;4;"preprint_noinfo";6,2
"91";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;7;7;6;6;7;6;"1";"";27;"1";"2";7;3;"preprint_noinfo";6,6
"92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;3;2;3;4;3;3;"1";"";26;"2";"2";1;3;"peer-review";3,2
"93";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;1;7;4;5;6;"2";"";47;"1";"2";4;3;"peer-review";5,2
"97";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;7;1;2;1;2;2;"2";"";38;"2";"2";5;4;"peer-review";3,2
"98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;4;6;4;5;4;"1";"";38;"2";"2";3;4;"preprint_noinfo";5
"104";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;1;2;2;2;2;"1";"";35;"2";"2";1;3;"preprint_noinfo";2,8
"105";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;7;4;7;6;5;7;"1";"";34;"1";"2";4;3;"peer-review";5,8
"108";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;5;5;5;5;5;"1";"";42;"2";"2";4;3;"preprint_noinfo";4,8
"111";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;5;3;4;6;3;5;"2";"";56;"2";"2";1;2;"preprint_noinfo";4,2
"116";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;3;3;2;4;6;"2";"";24;"2";"2";3;3;"peer-review";3,8
"119";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";2;2;1;3;2;2;2;"1";"";59;"2";"2";1;3;"peer-review";2
"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;3;6;3;5;5;"1";"";50;"2";"2";5;3;"preprint_noinfo";4,8
"124";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"";"";6;6;6;6;6;6;5;"2";"";30;"2";"1";6;4;"preprint_noinfo";6
"125";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"5";6;5;6;4;5;6;5;"2";"";28;"2";"2";4;4;"peer-review";5,2
"126";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;4;5;7;4;7;"1";"";32;"2";"1";6;4;"peer-review";5,8
"130";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";5;6;5;7;7;7;6;"1";"";30;"1";"2";7;3;"peer-review";6
"132";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;3;6;4;4;4;"2";"";43;"2";"2";2;3;"peer-review";4,8
"133";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;6;6;5;5;6;"1";"";32;"2";"2";6;4;"peer-review";5,6
"135";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;4;6;6;6;7;"1";"";32;"1";"1";2;2;"preprint_noinfo";5,6
"141";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;4;4;5;4;6;"1";"";27;"1";"1";4;4;"peer-review";4,4
"142";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;1;2;3;4;3;"1";"";24;"2";"2";1;3;"preprint_noinfo";3,2
"146";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;2;2;7;3;5;6;"2";"";48;"1";"2";2;3;"preprint_noinfo";4,2
"149";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;3;5;5;6;7;5;"1";"";51;"2";"2";5;3;"preprint_noinfo";5
"150";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;6;6;5;4;5;"1";"";31;"1";"2";5;4;"preprint_noinfo";5,2
"152";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;5;5;4;5;5;"1";"";38;"1";"2";4;2;"preprint_noinfo";4,8
"154";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;7;6;6;6;5;"1";"";62;"1";"1";5;3;"peer-review";6
"156";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;2;2;7;6;5;5;"2";"";47;"1";"2";6;4;"peer-review";4,8
"158";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;7;1;5;3;3;3;"1";"";23;"1";"2";5;3;"peer-review";4
"159";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;5;3;4;6;5;"1";"";35;"2";"2";4;3;"preprint_noinfo";4,6
"160";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;2;3;4;3;4;"1";"";71;"1";"2";4;2;"preprint_noinfo";3,8
"161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"4";"";"";5;6;6;7;6;6;7;"1";"";55;"1";"1";6;4;"preprint_noinfo";6
"162";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;3;6;5;6;4;"1";"";35;"1";"2";5;2;"preprint_noinfo";4,6
"165";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;3;6;4;5;6;"1";"";24;"2";"2";2;3;"peer-review";4,8
"168";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;4;2;5;6;5;7;"1";"";29;"1";"2";5;4;"peer-review";4,6
"172";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;3;5;3;5;5;5;"1";"";48;"2";"2";2;4;"peer-review";4,2
"177";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"5";6;6;6;4;6;5;5;"2";"";45;"2";"2";4;3;"peer-review";5,6
"185";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;3;6;3;6;6;"2";"";74;"2";"2";5;2;"preprint_noinfo";4,8
"190";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";3;4;5;5;2;4;5;"1";"";22;"2";"2";3;3;"peer-review";3,8
"193";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;4;5;2;5;4;"2";"";60;"1";"2";3;3;"preprint_noinfo";4,4
"195";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"5";5;5;5;5;5;4;5;"2";"";47;"2";"2";5;4;"peer-review";5
"201";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;7;7;7;7;7;"2";"";43;"1";"1";6;3;"peer-review";7
"202";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;4;1;5;3;1;4;"1";"";40;"1";"2";1;3;"preprint_noinfo";3,4
"206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;7;7;7;6;7;6;"1";"";25;"1";"2";3;3;"preprint_noinfo";5,8
"209";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";1;7;1;7;1;2;3;"1";"";58;"2";"2";1;2;"peer-review";3,4
"210";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;7;7;7;7;7;"2";"";31;"1";"2";5;3;"peer-review";7
"212";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;6;4;5;2;3;3;"1";"";30;"2";"2";3;2;"peer-review";4
"215";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;1;2;7;2;7;4;"2";"";53;"1";"2";4;3;"preprint_noinfo";3,6
"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"5";5;5;3;3;3;2;3;"1";"";43;"1";"1";5;3;"peer-review";3,8
"220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;6;4;6;5;5;5;"1";"";37;"2";"2";2;2;"preprint_noinfo";5,6
"225";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;3;6;3;4;5;"1";"";29;"1";"2";3;2;"preprint_noinfo";4,6
"229";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;7;5;7;7;6;6;"1";"";55;"1";"1";6;4;"peer-review";6,2
"231";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;4;4;5;3;3;"1";"";47;"2";"2";2;3;"preprint_noinfo";4,8
"232";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";2;3;2;7;4;4;3;"2";"";57;"1";"2";2;3;"peer-review";3,6
"234";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;1;5;1;3;4;"1";"";30;"2";"2";2;4;"peer-review";3,2
"237";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;1;6;3;2;2;"1";"";29;"1";"2";3;4;"preprint_noinfo";4
"239";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;2;2;2;2;1;1;"2";"";24;"1";"2";4;4;"preprint_noinfo";2
"240";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;6;4;7;7;5;6;"2";"";37;"2";"2";3;4;"preprint_noinfo";6
"243";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;6;6;6;7;6;"1";"";32;"2";"2";7;4;"peer-review";5,6
"244";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;5;2;2;6;5;5;"1";"";29;"1";"2";4;3;"peer-review";3,8
"245";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;2;2;5;5;6;"1";"";44;"1";"1";5;4;"peer-review";4,4
"246";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"";"";6;6;7;7;6;7;7;"1";"";43;"1";"1";6;4;"preprint_noinfo";6,4
"251";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;3;2;5;6;1;2;"2";"";48;"1";"2";4;2;"preprint_noinfo";4,4
"252";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;7;1;5;1;3;4;"1";"";25;"1";"2";3;2;"preprint_noinfo";3,6
"254";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;4;5;4;4;6;5;"1";"";29;"1";"1";5;4;"preprint_noinfo";4,4
"261";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";6;7;6;6;6;6;7;"1";"";43;"1";"1";6;4;"peer-review";6,2
"266";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;2;2;5;2;2;4;"2";"";26;"1";"2";2;2;"preprint_noinfo";3,2
"268";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"";"";6;6;3;7;6;7;7;"2";"";54;"2";"2";6;4;"preprint_noinfo";5,6
"270";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;6;4;6;3;5;4;"2";"";65;"1";"2";2;3;"preprint_noinfo";4,8
"271";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;3;3;6;5;6;"1";"";29;"1";"1";6;3;"peer-review";4,6
"276";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;2;6;5;7;7;"2";"";59;"1";"2";4;3;"peer-review";5,2
"277";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;6;7;7;5;5;6;"1";"";30;"1";"1";6;3;"peer-review";6,2
"280";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"5";6;6;4;5;6;5;6;"2";"";35;"2";"2";7;4;"peer-review";5,4
"281";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;7;3;7;7;5;5;"1";"";33;"2";"2";1;2;"peer-review";5,6
"283";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;2;7;5;7;7;"2";"";68;"1";"1";7;4;"peer-review";5,6
"286";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;6;6;5;6;7;"1";"";38;"1";"1";6;3;"peer-review";6
"287";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;6;5;3;6;6;5;"1";"";31;"1";"2";2;3;"preprint_noinfo";4,6
"288";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;3;6;6;6;7;"2";"";23;"1";"1";6;3;"peer-review";5,2
"292";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;4;2;6;4;4;4;"2";"";33;"1";"2";6;3;"peer-review";4,2
"293";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;6;7;6;6;6;"1";"";48;"1";"2";5;4;"peer-review";6,4
"294";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;6;2;6;7;3;2;"2";"";33;"1";"2";5;4;"preprint_noinfo";5,6
"295";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;7;1;7;2;1;2;"1";"";50;"1";"2";4;3;"preprint_noinfo";4,8
"296";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;3;4;4;3;5;5;"1";"";47;"2";"2";3;3;"peer-review";3,6
"298";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;3;4;7;5;4;5;"2";"";68;"2";"2";4;4;"peer-review";5
"303";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"4";"";"";6;5;5;6;5;5;4;"2";"";47;"2";"2";6;4;"preprint_noinfo";5,4
"305";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;7;5;7;3;4;6;"1";"";46;"1";"2";3;2;"preprint_noinfo";5
"307";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;4;7;4;5;6;"1";"";28;"2";"2";2;2;"peer-review";5,2
"309";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;4;4;5;2;4;5;"2";"";32;"2";"2";4;3;"peer-review";3,8
"313";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;2;5;4;2;3;"2";"";27;"1";"2";2;4;"preprint_noinfo";4,4
"315";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;4;6;6;6;6;4;"2";"";26;"2";"2";6;3;"preprint_noinfo";5,6
"317";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";7;7;7;7;7;7;7;"1";"";26;"1";"2";7;3;"preprint_noinfo";7
"319";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;2;2;4;3;3;4;"1";"";28;"1";"2";2;3;"preprint_noinfo";3,2
"320";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"5";5;6;5;4;5;5;6;"2";"";34;"2";"2";5;4;"peer-review";5
"321";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;6;1;7;3;2;6;"1";"";36;"2";"2";2;2;"peer-review";4,6
"329";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"5";5;5;4;5;5;5;6;"2";"";40;"1";"2";5;3;"peer-review";4,8
"330";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"4";"";"";3;4;4;6;6;5;4;"1";"";30;"1";"2";5;3;"preprint_noinfo";4,6
"337";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";3;7;2;7;6;4;4;"2";"";29;"2";"2";1;2;"preprint_noinfo";5
"338";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";1;7;1;2;1;6;7;"1";"";21;"2";"2";1;1;"peer-review";2,4
"339";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;5;5;4;6;6;"1";"";35;"2";"2";4;3;"peer-review";5
"341";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;3;3;4;4;4;4;"1";"";69;"1";"2";3;3;"preprint_noinfo";3,6
"344";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;7;1;6;4;7;7;"2";"";43;"2";"2";1;4;"peer-review";5
"348";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"5";7;7;7;7;7;7;7;"1";"";47;"1";"2";7;3;"peer-review";7
"352";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";4;4;2;6;5;5;6;"1";"";23;"1";"2";2;3;"peer-review";4,2
"353";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;4;4;4;5;5;5;"2";"";25;"2";"2";4;4;"peer-review";4
"355";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;2;6;3;5;6;"2";"";49;"1";"2";5;4;"peer-review";4,4
"362";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";4;5;5;6;5;3;2;"2";"";35;"1";"2";3;3;"preprint_noinfo";5
"363";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";5;5;2;4;5;4;6;"1";"";41;"2";"2";1;3;"preprint_noinfo";4,2
"367";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"5";5;4;6;5;7;4;3;"1";"";47;"2";"2";2;3;"peer-review";5,4
"368";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;4;5;5;6;5;4;"1";"";45;"1";"1";3;4;"preprint_noinfo";5,2
"371";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";3;5;1;2;6;3;4;"2";"";45;"2";"2";1;2;"peer-review";3,4
"375";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";7;6;5;2;2;5;7;"2";"";23;"2";"2";5;3;"peer-review";4,4
"378";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;2;2;6;2;3;4;"2";"";54;"2";"2";2;3;"preprint_noinfo";3,6
"380";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;5;5;4;6;5;"1";"";28;"1";"1";6;3;"peer-review";5
"382";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"4";"";"";3;4;4;4;3;5;5;"1";"";58;"2";"2";4;3;"preprint_noinfo";3,6
"383";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";6;5;2;6;1;6;6;"1";"";23;"1";"2";5;3;"preprint_noinfo";4
"384";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";"";"";2;5;3;5;4;3;4;"2";"";22;"2";"2";1;2;"preprint_noinfo";3,8
"385";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;6;6;6;5;6;6;"1";"";31;"1";"2";6;3;"peer-review";5,6
"386";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;5;7;6;7;6;7;"1";"";27;"1";"1";7;3;"peer-review";6,2
"388";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"5";5;6;6;7;7;5;7;"1";"";27;"2";"2";5;4;"peer-review";6,2
"392";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";5;5;1;3;5;4;4;"1";"";43;"1";"2";1;4;"peer-review";3,8
"393";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;7;5;1;2;6;6;"1";"";28;"1";"2";6;3;"peer-review";4,2
"395";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";6;4;1;2;1;2;7;"2";"";24;"1";"2";4;4;"peer-review";2,8
