"","title","english","authors","doi","date","year","peer.reviewed","preprint","no_peerreview","quality_control","standard_procedure","preliminary","comments_ra"
"14","A Comparison of the Reliability and Validity of 
the Predominant Models Used in Research on the Empirical Structure of 
Psychopathology","1","Miriam Forbes, Ashley Greene, Holly Levin-Aspenson, Ashley Watts, Michael Hallquist, Benjamin Lahey, Kristian Markon, Christopher J. Patrick, Jennifer Tackett, Irwin Waldman, Aidan Wright, Avshalom Caspi, Masha Ivanova, Roman Kotov, Douglas Samuel, Nicholas Eaton, Robert Krueger","10.31219/osf.io/fhp2r","05.06.","2020","0","2","1","0","0","1","not the 
version of record"
"15","Clarifying the Placement of Obsessive-Compulsive Disorder in the Empirical Structure of Psychopathology","1","Katherine Faure, Miriam Forbes","10.31219/osf.io/gfxue","05.06.","2020","0","0","0","0","0","0",""
"16","IAT Integrated Threat","1","Chris Aberson, Hannah Ferguson","10.31219/osf.io/jfrmc","05.06.","2019","1","2","0","0","0","0","Please contact the author for the published version of 
this preprint. "
"17","""Autism is me"": An investigation of how autistic individuals make sense of autism and stigma.","1","Monique Botha, Bridget Dibb, David M. Frost","10.31219/osf.io/gv2mw","05.06.","2020","0","0","2","0","0","0",""
"18","Mediating Effects of Parental Stress on Harsh 
Parenting And Parent-child Relationship During Coronavirus (COVID-19) 
Pandemic in Singapore.","1","Gerard Chung, Paul Lanier, Peace Wong","10.31219/osf.io/vnf4j","05.06.","2020","0","0","0","0","0","0",""
"19","Mengelola Pengetahuan COVID-19 dengan Konsep Knowledge Management","0","Mochammad Ghani","10.31219/osf.io/8xe9q","05.06.","2020","0","0","0","0","0","0",""
"20","New digital safety net or just more ‘friendfunding’? Institutional analysis of medical crowdfunding in the United States","1","Sumin Lee, Vili Lehdonvirta","10.31219/osf.io/9kecq","05.06.","2020","0","0","0","0","0","0",""
"21","Ten Simple Rules for Writing Dockerfiles for Reproducible Data Science","1","Daniel Nüst, Vanessa Sochat, Ben Marwick, Stephen Eglen, Tim Head, Tony Hirst, Benjamin Evans","10.31219/osf.io/fsd7t","05.06.","2020","0","0","0","0","0","0",""
"22","PEER REVIEW FERHADIUS ENDI - Factors Influencing French Tourists to Visit Bali","0","Ferhadius Endi","10.31219/osf.io/zjtkq","05.06.","2020","0","0","0","0","0","0",""
"23","SIMPOSIUM NASIONAL KOMUNIKASI KESEHATAN 2015 
(BOOK CHAPTER : FENOMENA PENGOBATAN MINYAK BINTANG EFEK MINIMNYA 
KEPERCAYAAN PASIEN TERHADAP PENGOBATAN BIOMEDIS)","0","Mochammad Ghani","10.31219/osf.io/f76mv","05.06.","2020","0","0","0","0","0","0",""
"24","Policy Paper : STRATEGI PENINGKATAN PELAYANAN KESEHATAN IBU DAN ANAK UNTUK ORANG ASLI PAPUA (OAP) DI PROVINSI PAPUA BARAT","0","Mochammad Ghani","10.31219/osf.io/nv5jc","05.06.","2020","0","0","0","0","0","0",""
"25","Spatially Resolved Strontium Isotope 
Micro-Analysis of Lower and Middle Palaeolithic Fauna from 
Archaeological Sites in Israel and Southern France","1","Ian Moffat","10.31219/osf.io/qcbjh","05.06.","2020","0","2","0","0","0","0",""
"26","Cultural Life: Theory and Empirical Testing","1","Dan Baciu","10.31219/osf.io/ad9fu","05.06.","2020","0","0","0","0","0","0",""
"27","Urbanization and regional difference in ageing in Europe","1","Ilya Kashnitsky, Joop de Beer, Leo van Wissen","10.31219/osf.io/hj28v","05.06.","2020","1","0","0","0","0","0",""
"28","Supplementary 4: Bayesian estimation of the posterior probability of game players’ perception","1","Quan-Hoang Vuong, Toan HoNGUYỄN Hoàng, Thanh-Hang Pham, Ho Anh, Vuong Thu Trang, Viet-Phuong La","10.31219/osf.io/8t3xz","05.06.","2020","0","0","0","0","0","0","supplemental material"
"29","Supplementary 3: Bayesian estimation of the posterior probability of game players’ perceptions","1","Quan-Hoang Vuong, Toan HoNGUYỄN Hoàng, Thanh-Hang Pham, Ho Anh, Vuong Thu Trang, Viet-Phuong La","10.31219/osf.io/a9m4e","05.06.","2020","0","0","0","0","0","0","supplemental material"
"30","Supplementary 2: Bayesian estimation of the posterior probability of game players’ perceptions","1","Quan-Hoang Vuong, Toan HoNGUYỄN Hoàng, Thanh-Hang Pham, Ho Anh, Vuong Thu Trang, Viet-Phuong La","10.31219/osf.io/czm98","05.06.","2020","0","0","0","0","0","0","supplemental material"
"31","Supplementary 1: Materials","1","Quan-Hoang Vuong, Toan HoNGUYỄN Hoàng, Thanh-Hang Pham, Ho Anh, Vuong Thu Trang, Viet-Phuong La","10.31219/osf.io/zgjqy","05.06.","2020","0","0","0","0","0","0","supplemental material"
"32","Incorporating children's views and perceptions about urban mobility","1","Mateus Humberto, Filipe Moura, Mariana Giannotti","10.31219/osf.io/yjxfm","05.06.","2020","0","2","2","0","0","0","Preprint version. Submitted on Feb 27, 2020(Under review)."
"33","Towards empathetic autism research:  Developing an autism-specific Research Passport","1","Maria Ashworth, Laura Crane, Robyn Steward, Melissa Bovis, Liz Pellicano","10.31219/osf.io/dh3y5","05.06.","2020","0","0","0","0","0","0",""
"34","A bibliometric study on the research landscape of entrepreneurial finance from 1970-2019","1","Nguyen Hoàng, Nguyen Huyen, Thanh-Hang Pham, Quynh-Yen Thi Nguyen, Quan-Hoang Vuong","10.31219/osf.io/qf62s","05.06.","2020","0","1","0","0","0","0","working paper"
"35","A detailed hierarchical model of psychopathology: From individual symptoms up to the general factor of psychopathology","1","Miriam Forbes","10.31219/osf.io/3dp6f","05.06.","2020","0","0","0","0","0","0",""
"36","The Psychology of American Racism","1","Steven Roberts, Michael Rizzo","10.31219/osf.io/w2h73","05.06.","2020","1","1","0","0","0","1","publication doi - This paper is not the copy of record and may 
not exactly replicate the final, authoritative version of the article. Plea"
"37","Mate Availability and Sexual Disgust","1","Courtney Crosby, Patrick Durkee, Anna Sedlacek, David Buss","10.31219/osf.io/g9us7","05.06.","2020","1","0","0","0","0","0",""
"38","The Transmission of Values From Math Teachers to 
Their Ninth-Grade Students: Different Mechanisms for Different Value 
Dimensions?","1","Cora Parrisius, Hanna Gaspard, Ulrich Trautwein, Benjamin Nagengast","10.31219/osf.io/c7yrb","05.06.","2019","0","2","0","0","0","0",""
"39","Gaya Hidup Pendeta Sebagai Seorang Gembala","0","Rawi Elfis","10.31219/osf.io/y4rg9","05.06.","2020","0","0","0","0","0","0",""
"40","Terror Management Theory: Missiological Applications in Times of Crisis","1","David Dunaetz","10.31219/osf.io/uqj8b","05.06.","2020","1","0","0","0","0","0",""
"41","Internal Migration Intensity and Impact in Europe
","1","Francisco Rowe","10.31219/osf.io/a6x3q","05.06.","2020","1","0","0","0","0","0","To be published on European Demographic Data Sheet 2020"
"42","The Change of China’s S&T Policy Style: a discourse institutionalism approach","1","Aobo Ran, Li Liu","10.31219/osf.io/a46xg","05.06.","2020","0","0","0","0","0","0",""
"43","Objective Sexiness? Using the Statistics of Feature Extraction Algorithm Outcomes to Determine the Sexiness of Images of Nude Women during Pornography Casting","1","Jakub Binter, Hermann Prossinger, Daniel Řiha","10.31219/osf.io/zspvf","05.06.","2020","0","0","0","0","0","0",""
"44","Quantification of Crime & CAW Using Statistical Methods and GIS... A Case Study at Diamond Harbour Municipality, South 24 Pargans, W.B
","1","Prantik Paul","10.31219/osf.io/g4uy2","05.06.","2020","1","0","0","0","0","0",""
"45","Making up Political People: How Social Media Create the Ideals, Definitions, and Probabilities of Political Speech
","1","Mike Ananny","10.31219/osf.io/7pd62","05.06.","2020","0","0","0","0","0","0",""
"46","Acceptance and Adoption of Protective Measures During the COVID-19 Pandemic: The Role of Trust in Politics and Trust in Science
","1","Simone Dohle, Tobias Wingen, Mike Schreiber","10.31219/osf.io/w52nv","05.06.","2020","0","1","3","0","0","1","""unedited manuscript"""
"47","How teachers form educational expectations for students: a comparative factorial survey experiment in three institutional contexts","1","Sara Geven, Øyvind Wiborg, Rachel Fish, Herman van de Werfhorst","10.31219/osf.io/gkm5w","05.06.","2020","0","0","3","0","0","0",""
"48","Digital Wellbeing as a Dynamic Construct
","1","Mariek Vanden Abeele","10.31219/osf.io/ymtaf","05.06.","2020","0","0","0","0","0","0",""
"49","That’s not a two-sided test! It’s two one-sided tests!","1","Mark Rubin","10.31219/osf.io/mgha2","05.06.","2020","1","0","0","0","0","0","peer-review doi"
"50","Delivering Psychological Treatment to Children via Phone: A Set of Guiding Principles Based on Recent Research with Syrian Refugee Children
","1","Fiona S. McEwen, Tania Bosqui, Nicolas Chehade, Stephanie Saad, Diana Abdul Rahman, Stephanie Skavenski, Laura Murray, Michael Pluess","10.31219/osf.io/5k3bh","05.06.","2020","0","0","0","0","0","0",""
"51","Ưu tiên phát triển ngành cơ khí công nghệ cao trong tiến trình chuyển đổi mô hình kinh tế TP.HCM theo hướng cạnh tranh 2020","0","Dao Huan, Dao Tung","10.31219/osf.io/wme7p","05.06.","2020","0","0","0","0","0","0",""
"52","Thúc đẩy chuyển dịch cơ cấu kinh tế, chuyển đổi mô hình tăng trưởng kinh tế TP.HCM theo hướng cạnh tranh 2020","0","Dao Huan, Dao Tung","10.31219/osf.io/b2kne","05.06.","2020","0","0","0","0","0","0",""
"53","Does insufficient sleep affect how you learn from
 reward or punishment? – Reinforcement learning after two nights of 
sleep restriction","1","Andreas Gerhardsson,Danja K. Porada, Johan Lundström, John Axelsson, Johanna Schwarz","10.31219/osf.io/nhwqv","05.06.","2020","0","0","0","0","0","0",""
"54","Stronger Resting-State Neural Oscillations Associated with Wiser Advising From the 2nd- but not the 3rd- Person Perspective","1","Huang Cheng-li, Haotian Zhang, Hark Huang, Cuiwen Duan, Jing Yu, Michel Ferrari, Chao S. Hu","10.31219/osf.io/dzf79","05.06.","2019","0","0","0","0","0","0",""
"55","Bayesian estimation of spatial filters with Moran's eigenvectors and hierarchical shrinkage priors","1","Connor Donegan, Yongwan Chun, Amy E. Hughes","10.31219/osf.io/fah3z","05.06.","2020","1","2","3","0","0","0","peer reviewed publication doi exists"
"56","Dimensions of the language environment in infancy  and symptoms of psychopathology in toddlerhood","1","Lucy King, Francesca Querdasi, Kathryn Humphreys, Ian Gotlib","10.31219/osf.io/caqez","05.06.","2020","0","0","0","0","0","0",""
"57","US Egg Production Data Set","1","Samara Mendez","10.31219/osf.io/wta3q","05.06.","2019","2","0","0","0","0","0",""
"58","A thorough evaluation of the Language Environment Analysis (LENATM) system","1","Alejandrina Cristia, Marvin Lavechin, Camila Scaff, Melanie Soderstrom, Caroline Rowland, Okko Räsänen, John Bunce, Elika Bergelson","10.31219/osf.io/mxr8s","05.06.","2019","0","0","0","0","0","0",""
"59","Inside the Decentralised Casino: A Longitudinal Study of Actual Cryptocurrency Gambling Transactions","1","Oliver Scholten, David Zendle, James Walker","10.31219/osf.io/xhfpw","05.06.","2020","0","0","0","0","0","0","in the paper the authors are anonymous"
"60","TIPZOO: a Touchscreen Interface for Palaeolithic 
Zooarchaeology. Towards making data entry and analysis easier, faster, 
and more reliable","1","Emmanuel Discamps","10.31219/osf.io/aew5c","05.06.","2020","2","0","0","0","0","0","open peer-review"
"61","Abstract concepts in interaction: The need of others when guessing abstract concepts smooths dyadic motor interactions
","1","Chiara Fini, Vanessa Era, Federico da Rold, Matteo Candidi, Anna Borghi","10.31219/osf.io/wyqdm","05.06.","2020","0","0","0","0","0","0",""
"62","Greater discrimination difficulty during perceptual learning leads to stronger and more distinct representations
","1","Vencislav Popov, Lynne Reder","10.31219/osf.io/ru7t6","05.06.","2019","1","0","0","0","0","0","Psychonomic Bulletin & Review.Advance Online Publication."
"63","The Child’s Pantheon: Children’s Hierarchical Belief Structure in Real and Non-Real figures
","1","Rohan Kapitány, Nicole Nelson, Thalia Goldstein, Emily Burdett","10.31219/osf.io/hvqd3","05.06.","2018","0","0","0","0","0","0",""
"64","Preprint_Held im Spiel_Wernbacher
","0","Thomas Wernbacher","10.31219/osf.io/pg9m5","05.06.","2020","0","0","0","0","0","0",""
"65","The ‘Real’ Wolf of Wall Street- COVID-19’s Impact on Global Economies & Healthcare Systems","1","Mir Ibrahim Sajid, Alizah Pervaiz Hashmi, Dania Khan, Mir Rafe Sajid, Muhammad Rizwan Sohail, Sameen Siddiqi","10.31219/osf.io/849sh","05.06.","2020","0","0","0","0","0","0",""
"66","How Good Is Good Enough? - The Value of Impact Factor in Determining the Quality of Biomedical Research: A Review of Perspectives
","1","Mir Ibrahim Sajid, Hafsa Khan Tareen, Samira Shabbir Balouch, Syed Muhammad Awais","10.31219/osf.io/zmbwv","05.06.","2020","0","0","0","0","0","0",""
"67","‘Set up to fail’? How welfare conditionality undermines citizenship for vulnerable groups","1","Aaron Reeves","10.31235/osf.io/6shpx","05.06.","2016","2","0","0","0","0","0",""
"68","Kangaroo Island Shipwreck Shelter Huts
","1","Jennifer McKinnon, Andrea Smith, Ian Moffat","10.31219/osf.io/vx9hd","05.06.","2020","1","0","0","0","0","0","author accepted manuscript ?"
"69","A Needle in a Haystack: Archaeological and Geophysical Investigations of Historic Shipwreck Shelter Huts on Kangaroo Island","1","Jennifer McKinnon, Ian Moffat, Andrea Smith","10.31219/osf.io/v53gt","05.06.","2020","1","0","0","0","0","0","author accepted manuscript  ?"
"70","Local news availability does not increase pro-social pandemic response
","1","Sean Fischer","10.31219/osf.io/ysruw","05.06.","2020","0","0","0","0","0","0",""
"71","Interdependence and the Cost of Uncoordinated Responses to COVID-19
","1","David Holtz, Michael Zhao, Seth G. Benzell, Cathy Cao, M. Amin Rahimian, Jeremy Yang, Jennifer Allen, Avinash Collis, Alex Moehring, Tara Sowrirajan, Dipayan Ghosh, Yunhao Zhang, Paramveer Dhillon, Christos Nicolaides, Dean Eckles, Sinan Aral","10.31219/osf.io/b9psy","05.06.","2020","0","1","0","0","0","0","working paper"
"72","Preprint_Learning by Playing_Wernbacher
","1","Thomas Wernbacher, Alexander Pfeiffer, Michael G. Wagner","10.31219/osf.io/ucg93","05.06.","2020","0","2","0","0","0","0","preprint only in osf titel"
"73","Preprint_Walk Your City_Wernbacher
","1","Thomas Wernbacher","10.31219/osf.io/vp29q","05.06.","2020","1","2","0","0","0","0","preprint only in osf titel ,ISBN-Nummer und print"
"74","Preprint_Traces_Wernbacher","1","Thomas Wernbacher","10.31219/osf.io/vfy7d","05.06.","2020","0","2","0","0","0","0","preprint only in osf titel"
"75","No Evidence for Neural Markers of Gaze Direction Adaptation in 2-Year-Olds with High or Low Likelihood of Autism","1","Emma Ward, Ricarda Braukmann, Jan Buitelaar, Sabine Hunnius","10.31219/osf.io/afnzy","05.06.","2020","1","1","0","0","0","1","peer-review doi, This paper is not the copy of record and may not exactly replicate the final, authoritative version of the article. "
"76","The pandemic threatens aged rural regions most","1","Ilya Kashnitsky, José Aburto","10.31219/osf.io/abx7s","05.06.","2020","0","2","0","0","0","0",""
"77","Sixteen-month-olds comprehend unanchored absent reference","1","Elena Luchkina, Fei Xu, David Sobel, James L. Morgan","10.31219/osf.io/5tc6d","05.06.","2020","0","0","0","0","0","0",""
"78","OMG GMO! Parent-Child Conversations About Genetically Modified Foods","1","Andrew Shtulman, Ilana Share, Rosie Silber-Marker, Asheley Landrum","10.31219/osf.io/r8dcz","05.06.","2020","1","0","0","0","0","0","In press, Cognitive Developmen"
"79","Contrast normalisation masks natural expression-related differences and artificially enhances the perceived salience of fear expressions.
","1","Abigail Webb, Paul Hibbard","10.31219/osf.io/hkrd9","05.06.","2020","0","0","0","0","0","0",""
"80","The Political Economy of Foreign Direct Investment to Developing Countries","1","Nikki Harish, Michael Plouffe","10.31219/osf.io/chzpq","05.06.","2020","0","0","0","0","0","0",""
"81","Responsiveness and Unelected Leaders: Lessons from the Catholic Church","1","Jeffrey Ziegler","10.31219/osf.io/kvz48","05.06.","2020","0","0","0","0","0","0",""
"82","Maladaptive traits = normal range traits + personality dysfunction","1","Leslie Morey, Evan Good, Christopher Hopwood","10.31219/osf.io/vb8cw","05.06.","2020","0","0","0","0","0","0",""
"83","Dietary Similarity of Friends and Lovers: Vegetarianism, Omnivorism, and Personal Relationships","1","John Nezlek, Marzena Cypryanska, Catherine A. Forestell","10.31219/osf.io/vs3z5","05.06.","2020","0","0","0","0","0","0",""
"84","Promoting social distancing in a pandemic: Beyond the good intentions","1","Paolo Falco, Sarah Zaccagni","10.31219/osf.io/a2nys","05.06.","2020","0","0","0","0","0","0",""
"85","Which Possibility Is Necessaryfor Basic Conditionals?","1","Moyun Wang","10.31219/osf.io/ume7q","05.06.","2020","0","2","0","0","0","0",""
"86","Beyond COVID-19: Doing the most good as a scientist","1","Alejandrina Cristia, Abboub Nawal","10.31219/osf.io/e2zx6","05.06.","2020","0","1","0","0","0","0",""
"87","Open Questions in Scientific Consensus Messaging Research","1","Asheley Landrum, Matthew Slater","10.31219/osf.io/7cjvn","05.06.","2020","1","0","0","0","0","0",""
"88","The role of crosslinguistic influence in multilingual processing: Lexicon versus syntax","1","Sol Lago, Michela Mosca, Anna Garcia","10.31219/osf.io/xc6wd","05.06.","2020","1","0","0","0","0","0","peer reviewed doi"
"89","Silver Linings and Storm Clouds: Divergent Profiles of Student Momentary Engagement Emerge in Response to the Same Task","1","Jennifer Symonds, James B. Schreiber, Benjamin M. Torsney","10.31219/osf.io/nh8zk","05.06.","2019","1","0","0","0","0","0","post-print version"
"90","Coping with Fear and Sadness During a Pandemic","1","William Sanderson","10.31219/osf.io/eyvwn","05.06.","2020","0","1","0","0","0","1","work in progress"
"91","BIG DATA e a Informação Pública na Tomada de Decisão
","0","Francisco Paletta, Rafael da Conceição","10.31219/osf.io/7nxwr","05.06.","2020","1","0","0","0","0","0","peer-review doi"
"92","Digital Emotion Contagion
","1","Amit Goldenberg, James Gross","10.31219/osf.io/53bdu","05.06.","2020","2","0","0","0","0","0",""
"93","Applications of Satellite Remote Sensing for Archaeological Survey: A Case Study from the Sinis Archaeological Project, Sardinia
","1","Daniel Plekhov, Linda Gosner, Alexander Smith, Jessica Nowlin","10.31219/osf.io/ugn7v","05.06.","2020","1","0","0","0","0","0","peer-review doi"
"94","Hackers of Port-Royal : various philosophers and mathematicians of that institution.
","1","Camille Akmut","10.31219/osf.io/v6h87","05.06.","2020","0","0","0","0","0","0",""
"95","Mean Comparisons of Many Groups in the Presence of DIF: An Evaluation of Linking and Concurrent Scaling Approaches","1","Alexander Robitzsch, Oliver Lüdtke","10.31219/osf.io/ce5sq","05.06.","2020","0","2","3","0","0","0",""
"96","COVID19 Research for the English-Speaking World: Health Communication During a Pandemic
","1","Zehra Taskin, Guleda Dogan, Emanuel Kulczycki, Alesia Ann Zuccala","10.31219/osf.io/pr37c","05.06.","2020","0","0","0","0","0","0",""
"97","Rule-based generalization of threat without similarity
","1","Lars Marstaller, Rizah Al-Jiboury, Andrew Kemp, Simon Dymond","10.31219/osf.io/kfv3j","05.06.","2020","0","2","3","0","0","0",""
"98","Pemimpin dan Kepemimpinan Kristen
","0","Purnama Pasande","10.31219/osf.io/czydf","05.06.","2020","0","0","0","0","0","0",""
"99","Resensi Teologi Perjanjian Baru I","0","Nayarpin","10.31219/osf.io/uc37b","05.06.","2020","0","0","0","0","0","0",""
"100","Better safe than sorry: A common signature of general vulnerability for psychopathology","1","Omer Van den Bergh, Jos Brosschot, Hugo Critchley, Julian F. Thayer, Cristina Ottaviani","10.31219/osf.io/8ev4u","05.06.","2020","1","0","0","0","0","0",""
"101","Trung tâm ISR có bài ra mừng 130 năm Ngày sinh Chủ tịch Hồ Chí Minh","0","Toan Ho","10.31219/osf.io/3j4cf","05.06.","2020","0","0","0","0","0","0",""
"102","Does encouraging a belief in determinism increase cheating? Reconsidering the value of believing in free will","1","Thomas Nadelhoffer, Jason Shepard, Damien Crone, Jim Everett, Brian Earp, Neil Levy","10.31219/osf.io/bhpe5","05.06.","2019","1","1","0","0","0","0","This is a prepublication draft only. The final draft is forthcoming in 
Cognition
."
"103","""Earth … without us"": Earthlessness, Autochthoneity and Environmental Risk in Negotiating Mining in Germany","1","Ingmar Lippert","10.31219/osf.io/nvxw8","05.06.","2020","0","2","0","0","0","1",""
"104","Human Listeners’ Perception of Behavioural Context and Core Affect Dimensions in Chimpanzee Vocalisations","1","Roza Kamiloglu, Katie Slocombe, Daniel Haun, Disa Sauter","10.31219/osf.io/928ag","05.06.","2020","1","0","0","0","0","0",""
"105","Prospective Economic Costs Undermine Expectations of Social Distancing","1","Eric Merkley, Peter John Loewen","10.31219/osf.io/yht9v","05.06.","2020","0","0","0","0","0","0",""
"106","MAKALAH PJOK NARKOBA","0","Fathi Najmi","10.31219/osf.io/em7gw","05.06.","2020","0","0","0","0","0","0",""
"107","Americans' perceptions of privacy and surveillance in the COVID-19 Pandemic","1","Baobao Zhang, Sarah Kreps, Nina McMurry ","10.31219/osf.io/9wz3y","05.06.","2020","0","1","0","0","0","1","This is a working paper. We will expand this paper as we conduct additional da"
"108","Certainty of fertility preferences among Dutch women","1","Gert Stulp","10.31219/osf.io/gacz5","05.06.","2020","0","2","3","0","0","0",""
"109","The verifiability approach to deception detection: A Preregistered direct replication of the information protocol condition of Nahari, Vrij, and Fisher (2014)","1","Bruno Verschuere, Manon Schutte, Sharon van Opzeeland, Ilona Kool","10.31219/osf.io/v5e3u","05.06.","2020","0","1","0","0","0","0","working paper"
"110","Visual perception grounding of social cognition in preverbal infants","1","Liuba Papeo, Nicolas Goupil, Jean-Rémy Hochmann","10.31219/osf.io/v7y9x","05.06.","2020","0","0","0","0","0","0",""
"111","Market shocks and professionals' investment behavior – Evidence from the COVID-19 crash","1","Christoph Huber, Juergen Huber, Michael Kirchler","10.31219/osf.io/fgxpb","05.06.","2020","0","0","0","0","0","0",""
"112","Process account of curiosity and interest: A reward-learning perspective","1","Kou Murayama, Lily FitzGibbon, Michiko Sakaki","10.31219/osf.io/hbcz5","05.06.","2018","1","0","0","0","0","0","peer-review doi"
"113","Covid-19 and “Immune Boosting” on the Internet: A Content Analysis of Google Search Results
","1","Christen Rachul, Alessandro Marcon, Benjamin Collins, Timothy Caulfield","10.31219/osf.io/q9m4s","05.06.","2020","0","1","1","0","0","0","working paper"
"114","Nature and Logic","1","William Icefield","10.31219/osf.io/btg7q","05.06.","2020","0","0","0","0","0","0",""
"115","Training and Supervising Lay-providers in Low-income Settings: A Mixed-methods Study of Task-sharing from the Shamiri Randomized Controlled Trial
","1","Katherine Venturo-Conerly, Elizabeth Roe, Akash Wasil, Tom Osborn","10.31219/osf.io/bqznm","05.06.","2020","0","0","0","0","0","0",""
"116","Understanding the forbidden fruit effect: people's desire to see what is forbidden and unavailable","1","Lily FitzGibbon, Cansu Ogulmus, Greta Fastrich, Johnny Lau, Sumeyye Aslan, Lorella Lepore, Kou Murayama","10.31219/osf.io/ndpwt","05.06.","2020","0","0","0","0","0","0",""
"117","Orphan drug policy
","1","Roshani goel","10.31219/osf.io/j2fwh","05.06.","2020","0","0","0","0","0","0",""
"118","Đánh giá sự hài lòng của doanh nghiệp đối với chất lượng dịch vụ hải quan điện tử tại cục hải quan TP.HCM
","0","Dao Huan, Dao Tung","10.31219/osf.io/ryvxn","05.06.","2020","0","0","0","0","0","0",""
"119","Tác động của TPP đối với ngành chăn nuôi Việt Nam
","0","Dao Tung","10.31219/osf.io/5yp8f","05.06.","2020","0","0","0","0","0","0",""
"120","Đánh giá mức độ hài lòng và các yếu tố tác động đến sự hài lòng của người lao động tại HUFLIT
","0","Dao Huan, Bui Nhat Vuong, Dao Tung","10.31219/osf.io/4y8xs","05.06.","2020","0","0","0","0","0","0",""
"121","Exploring Interaction Design Considerations for Trustworthy Language-Capable Robotic Wheelchairs in Virtual Reality","1","Nicholas Woodward, Teresa Nguyen, Lixiao Zhu, Carter Fowler, Taewoo Kim, Stacia Near, Stephen Thoemmes, Thomas Williams","10.31219/osf.io/5ra67","05.06.","2020","0","0","0","0","0","0",""
"122","Not lost in translation: Successfully replicating Prospect Theory in 19 countries","1","Kai Ruggeri, Sonia Alí, Mari Berge, Giulia Bertoldo, Anna Cortijos-Bernabeu, Ludvig Bjørndal, Clair Davison, Emir Demić, Celia Esteban Serna, Maja Friedemann, Shannon Gibson, Hannes Jarke, Ralitsa Karakasheva, Peggah Khorrami, Jakob Kveder, Thomas Andersen, Ingvild Lofthus, Lucy McGil, lAna Nieto, Jacobo Pérez, Sahana Quail, Charlotte Rutherford, Felice Tavera, Nastja Tomat, Chiara Van Reyn, Bojana Većkalov, Jane Wang, Aleksandra Yosifova, Francesca Papa, Enrico Rubaltelli, Sander van der Linden, Tomas Folke","10.31219/osf.io/2nyd6","05.06.","2020","1","0","0","0","0","0","peer-review doi"
"123","Simple Guidelines for Authors: Open Journal of Mathematics and Physics","1","Matheus Lobo","10.31219/osf.io/fk836","05.06.","2019","1","0","0","0","0","0","gibt an dass es eine most updated version of this paper unter einer anderen doi gibt"
