"";"credibility1";"credibility2";"credibility3";"credibility4";"credibility5";"psychology";"gender";"knowledge_preprints";"knowledge_peerreview";"vorherige.Studie";"condition";"age";"credibility"
"80";5;3;1;5;1;"1";"2";"2";"1";"2";"preprint";23;3
"82";5;2;1;6;3;"1";"1";"2";"2";"4";"peer-review";24;3,4
"83";5;3;1;6;2;"1";"1";"2";"1";"2";"preprint";21;3,4
"87";6;1;1;4;2;"1";"2";"2";"1";"2";"preprint";23;2,8
"88";5;6;2;5;2;"1";"1";"1";"1";"4";"preprint";26;4
"89";5;5;3;6;3;"1";"2";"2";"2";"2";"preprint";21;4,4
"90";6;5;6;5;6;"1";"1";"1";"1";"2";"preprint";31;5,6
"93";3;6;2;5;1;"1";"2";"2";"2";"2";"peer-review";18;3,4
"94";6;4;4;5;6;"1";"1";"2";"2";"2";"peer-review";19;5
"96";4;6;2;6;6;"2";"1";"2";"1";"2";"peer-review";32;4,8
"97";6;6;2;3;2;"1";"1";"2";"2";"2";"peer-review";22;3,8
"100";7;7;7;7;7;"2";"2";"1";"1";"4";"preprint";30;7
"101";5;5;4;5;3;"1";"2";"2";"2";"2";"preprint";27;4,4
"103";5;3;3;7;5;"1";"1";"2";"2";"2";"preprint";22;4,6
"105";4;5;4;4;4;"1";"1";"2";"2";"2";"preprint";21;4,2
"106";6;5;3;7;2;"1";"1";"1";"1";"4";"peer-review";33;4,6
"107";6;3;4;5;3;"1";"1";"2";"2";"2";"peer-review";18;4,2
"109";5;3;6;5;5;"1";"1";"2";"2";"2";"peer-review";24;4,8
"110";2;6;4;5;6;"2";"1";"2";"2";"4";"preprint";30;4,6
"111";4;5;1;2;1;"1";"2";"1";"1";"4";"peer-review";27;2,6
"112";6;3;3;6;3;"1";"2";"1";"1";"4";"peer-review";23;4,2
"113";6;5;2;6;1;"1";"1";"2";"2";"4";"preprint";32;4
"114";7;5;3;7;3;"1";"1";"2";"2";"4";"peer-review";21;5
"116";5;3;5;5;2;"1";"1";"2";"2";"2";"peer-review";17;4
"117";6;6;3;6;3;"1";"1";"2";"2";"2";"peer-review";19;4,8
"119";7;5;3;5;3;"1";"2";"2";"1";"4";"peer-review";25;4,6
"121";7;7;4;5;1;"1";"2";"2";"2";"2";"peer-review";21;4,8
"122";4;2;3;5;2;"1";"1";"2";"1";"";"preprint";36;3,2
"123";6;5;2;5;4;"2";"1";"2";"1";"4";"peer-review";29;4,4
"124";6;6;4;5;3;"1";"1";"1";"1";"4";"preprint";25;4,8
"127";6;3;3;6;2;"2";"1";"2";"1";"4";"peer-review";21;4
"128";5;5;3;6;3;"1";"1";"2";"2";"2";"preprint";18;4,4
"129";5;2;1;4;1;"2";"2";"1";"1";"4";"peer-review";22;2,6
"132";6;6;3;5;3;"1";"1";"2";"1";"4";"peer-review";52;4,6
"134";6;2;2;6;2;"1";"1";"2";"2";"2";"preprint";22;3,6
"135";6;5;3;4;6;"1";"1";"2";"1";"2";"preprint";19;4,8
"136";6;3;3;6;2;"1";"1";"2";"2";"2";"peer-review";22;4
"137";2;3;5;1;2;"1";"1";"2";"2";"2";"peer-review";22;2,6
"138";6;6;4;6;4;"1";"1";"2";"1";"2";"preprint";26;5,2
"141";4;5;3;2;5;"1";"2";"2";"2";"2";"peer-review";23;3,8
"143";7;6;1;6;3;"1";"1";"1";"1";"2";"peer-review";25;4,6
"144";6;4;1;4;2;"1";"1";"1";"1";"2";"peer-review";21;3,4
"145";3;6;1;6;5;"1";"1";"2";"2";"2";"preprint";30;4,2
"146";7;2;2;6;5;"2";"2";"2";"1";"4";"peer-review";24;4,4
"147";6;3;2;6;2;"2";"1";"2";"1";"2";"peer-review";24;3,8
"152";5;5;3;5;3;"1";"1";"2";"2";"2";"preprint";24;4,2
"155";3;3;2;2;3;"";"";"";"";"";"peer-review";NA;2,6
"156";7;2;3;5;2;"1";"1";"2";"2";"2";"preprint";21;3,8
"157";3;2;2;3;1;"1";"2";"2";"2";"2";"peer-review";30;2,2
"158";6;6;6;7;6;"1";"2";"2";"1";"";"peer-review";60;6,2
"160";5;5;3;3;3;"1";"1";"2";"1";"4";"peer-review";34;3,8
"161";5;3;3;5;3;"1";"1";"2";"1";"4";"preprint";23;3,8
"162";5;3;3;7;3;"1";"1";"2";"2";"2";"peer-review";22;4,2
"163";4;5;1;4;1;"1";"1";"2";"2";"4";"peer-review";27;3
"164";6;3;5;5;3;"1";"1";"2";"1";"2";"peer-review";23;4,4
"165";6;7;6;7;5;"1";"1";"2";"1";"2";"preprint";22;6,2
"167";5;6;1;6;1;"1";"1";"2";"1";"2";"preprint";31;3,8
"168";6;4;5;6;5;"1";"2";"2";"1";"4";"preprint";30;5,2
"170";5;7;2;5;3;"1";"2";"1";"1";"4";"peer-review";36;4,4
"174";6;6;2;6;4;"2";"2";"2";"2";"4";"preprint";32;4,8
"176";2;5;3;3;2;"2";"1";"2";"2";"";"peer-review";21;3
"177";5;1;3;6;4;"1";"1";"2";"2";"4";"peer-review";21;3,8
"178";6;5;2;6;4;"1";"1";"2";"2";"4";"peer-review";22;4,6
"179";6;5;1;2;3;"1";"1";"2";"2";"4";"preprint";22;3,4
"180";6;3;3;5;4;"1";"1";"2";"1";"4";"peer-review";22;4,2
"181";6;7;4;2;5;"1";"2";"2";"1";"4";"preprint";20;4,8
"182";5;6;1;3;4;"1";"1";"2";"1";"4";"preprint";21;3,8
"183";5;3;4;3;4;"1";"1";"2";"1";"4";"preprint";22;3,8
"184";5;2;6;3;1;"1";"1";"1";"1";"4";"preprint";20;3,4
"185";6;5;3;3;1;"1";"1";"2";"1";"4";"preprint";19;3,6
"186";6;5;3;5;5;"1";"1";"2";"1";"4";"peer-review";22;4,8
"187";2;2;1;2;2;"2";"1";"2";"1";"4";"peer-review";21;1,8
"188";4;5;1;3;4;"1";"1";"2";"2";"4";"preprint";20;3,4
"189";5;6;1;4;2;"1";"2";"2";"1";"4";"preprint";24;3,6
"190";6;6;2;6;3;"1";"1";"2";"1";"4";"preprint";22;4,6
"191";6;7;3;6;1;"1";"2";"2";"2";"4";"peer-review";19;4,6
"192";5;3;3;5;5;"2";"1";"2";"1";"4";"peer-review";27;4,2
"193";6;7;3;6;2;"1";"1";"2";"1";"4";"preprint";21;4,8
"194";7;2;5;7;1;"1";"1";"2";"2";"4";"preprint";24;4,4
"195";3;5;2;2;2;"2";"1";"2";"2";"4";"preprint";21;2,8
"196";7;7;3;5;4;"1";"1";"1";"1";"4";"peer-review";39;5,2
"197";6;6;3;6;3;"1";"1";"1";"2";"";"peer-review";19;4,8
"198";5;4;2;4;2;"1";"1";"2";"2";"4";"peer-review";21;3,4
"199";6;6;5;6;4;"1";"1";"2";"1";"4";"preprint";26;5,4
"200";6;6;1;6;3;"1";"1";"2";"1";"2";"preprint";35;4,4
"201";6;6;1;7;3;"1";"1";"2";"1";"4";"peer-review";22;4,6
"202";3;1;1;3;2;"1";"1";"2";"1";"4";"preprint";20;2
"204";6;3;2;5;6;"1";"2";"2";"2";"2";"preprint";26;4,4
"205";3;2;2;1;3;"1";"3";"2";"2";"2";"peer-review";32;2,2
"206";5;3;2;5;3;"1";"1";"2";"2";"4";"peer-review";20;3,6
"211";5;6;2;5;3;"1";"1";"2";"2";"2";"peer-review";20;4,2
"218";7;5;2;6;2;"1";"2";"2";"1";"4";"preprint";22;4,4
"221";6;6;2;6;5;"1";"2";"2";"1";"2";"peer-review";36;5
"224";6;5;1;7;3;"1";"2";"2";"1";"2";"preprint";20;4,4
"225";5;4;2;4;3;"1";"1";"1";"1";"2";"preprint";29;3,6
"226";6;6;4;5;3;"1";"1";"2";"2";"2";"peer-review";20;4,8
"229";4;4;2;4;4;"1";"1";"2";"2";"2";"preprint";21;3,6
"230";6;5;2;3;3;"1";"1";"2";"2";"2";"preprint";22;3,8
"231";3;3;3;3;3;"";"";"";"";"";"preprint";NA;3
"232";6;1;1;3;3;"1";"1";"1";"1";"4";"preprint";30;2,8
"233";6;6;4;5;3;"1";"1";"2";"2";"2";"preprint";20;4,8
"234";5;3;3;4;4;"1";"1";"2";"1";"2";"preprint";32;3,8
"235";4;4;4;4;4;"";"";"";"";"";"peer-review";NA;4
"236";5;2;3;2;2;"2";"2";"2";"2";"4";"peer-review";29;2,8
"237";5;5;1;4;1;"1";"1";"2";"2";"2";"peer-review";42;3,2
"238";3;3;4;5;5;"1";"1";"2";"2";"4";"peer-review";20;4
"239";3;6;5;4;3;"1";"1";"1";"1";"2";"peer-review";21;4,2
"240";4;4;4;4;4;"1";"1";"2";"2";"2";"peer-review";21;4
"241";6;1;6;6;3;"2";"2";"2";"1";"";"peer-review";35;4,4
"242";6;3;4;6;2;"1";"1";"1";"2";"2";"peer-review";21;4,2
"243";7;6;3;4;6;"1";"2";"1";"1";"2";"peer-review";35;5,2
"244";6;5;3;5;3;"2";"1";"2";"2";"4";"preprint";20;4,4
"245";5;4;3;3;4;"1";"1";"1";"1";"4";"preprint";27;3,8
"246";6;4;2;5;5;"1";"1";"2";"1";"2";"peer-review";23;4,4
"250";7;2;6;5;3;"1";"1";"2";"1";"2";"peer-review";21;4,6
"252";7;7;3;5;4;"1";"1";"2";"1";"4";"peer-review";20;5,2
"254";6;2;1;5;2;"1";"1";"2";"1";"4";"peer-review";21;3,2
"255";6;3;4;7;5;"1";"1";"2";"2";"2";"peer-review";22;5
"256";5;5;5;6;2;"1";"1";"2";"2";"2";"preprint";35;4,6
"259";7;4;6;6;2;"1";"1";"2";"1";"4";"peer-review";23;5
"262";6;4;3;5;2;"1";"1";"2";"1";"4";"peer-review";22;4
"263";7;3;1;7;4;"2";"2";"1";"1";"4";"peer-review";28;4,4
"264";5;4;1;6;5;"1";"1";"2";"2";"4";"preprint";21;4,2
"265";6;6;4;7;6;"1";"1";"2";"1";"";"peer-review";26;5,8
"266";7;7;7;7;7;"1";"1";"2";"1";"";"peer-review";24;7
"268";4;3;4;5;4;"2";"1";"2";"1";"4";"peer-review";21;4
"269";4;5;3;6;4;"1";"1";"2";"2";"4";"peer-review";29;4,4
"270";5;5;3;5;4;"1";"1";"2";"1";"4";"peer-review";22;4,4
"271";5;5;4;5;4;"1";"1";"1";"1";"4";"peer-review";27;4,6
"272";7;7;4;7;6;"1";"1";"1";"1";"4";"peer-review";33;6,2
"273";5;2;1;4;2;"2";"2";"1";"1";"4";"preprint";32;2,8
"276";7;7;3;7;4;"1";"1";"1";"1";"4";"peer-review";28;5,6
"277";6;4;3;5;2;"2";"1";"2";"2";"4";"peer-review";19;4
"280";7;7;4;7;2;"1";"1";"2";"1";"2";"peer-review";19;5,4
"281";7;2;5;6;4;"1";"2";"2";"1";"2";"peer-review";21;4,8
"283";2;5;4;1;4;"1";"1";"1";"2";"4";"preprint";25;3,2
"286";7;4;5;7;6;"1";"1";"2";"1";"4";"peer-review";26;5,8
"287";6;6;2;3;2;"2";"1";"2";"1";"4";"preprint";22;3,8
"288";2;5;5;6;2;"2";"2";"2";"1";"4";"preprint";27;4
"289";5;4;3;3;2;"2";"2";"2";"2";"4";"preprint";25;3,4
"290";6;6;3;5;4;"1";"1";"2";"1";"4";"preprint";21;4,8
"291";6;6;2;2;5;"1";"1";"2";"2";"4";"preprint";20;4,2
"293";6;4;2;6;5;"1";"1";"2";"1";"4";"preprint";26;4,6
"294";6;4;3;5;4;"2";"1";"1";"1";"4";"preprint";23;4,4
"295";5;5;2;6;7;"1";"1";"2";"1";"4";"peer-review";28;5
"297";5;5;2;3;3;"1";"1";"2";"1";"4";"peer-review";25;3,6
"298";6;4;3;5;2;"1";"1";"2";"1";"";"peer-review";22;4
"299";3;3;3;5;4;"1";"1";"2";"1";"4";"peer-review";26;3,6
"303";6;6;1;3;5;"1";"1";"2";"1";"";"peer-review";26;4,2
"304";7;6;4;7;2;"2";"1";"2";"2";"4";"peer-review";23;5,2
"306";7;5;3;5;2;"1";"2";"2";"2";"2";"preprint";19;4,4
"307";7;6;1;2;4;"1";"1";"2";"1";"4";"preprint";25;4
"308";7;3;2;6;1;"2";"1";"2";"1";"4";"preprint";25;3,8
"309";2;6;5;2;4;"1";"1";"2";"1";"4";"peer-review";21;3,8
"310";6;4;3;4;1;"1";"1";"2";"2";"4";"preprint";22;3,6
"311";6;5;2;4;2;"1";"2";"2";"1";"4";"preprint";27;3,8
"312";6;5;3;7;5;"1";"1";"2";"1";"2";"preprint";21;5,2
"313";7;4;5;2;4;"1";"3";"2";"2";"2";"peer-review";23;4,4
"314";6;5;2;6;5;"1";"2";"2";"1";"4";"peer-review";23;4,8
