"","title","english","authors","doi","date","year","peer.reviewed","preprint","no_peerreview","quality_control","standard_procedure","preliminary","comments_ra"
"19","Fighting COVID-19 misinformation on social media: Experimental evidence for a scalable accuracy nudge intervention","1","Gordon Pennycook, Jonathon McPhetres, Yunhao Zhang, Jackson Lu, David Rand","10.31234/osf.io/uhbk9","04.06.20","2020","1","0","0","0","0","0","in press"
"20","Altered inner body perception in anorexia and bulimia nervosa: a systematic review","1","Clelia Malighetti, Santino Gaudio, Daniele Di Lernia, Marta Matamala Gomez, Giuseppe Riva","10.31234/osf.io/2x4em","04.06.20","2020","0","0","0","0","0","0",""
"21","Examining Teacher Recruitment Strategies in England","1","Robert Klassen, Lisa Bardach, Jade Rushby, Tracy Durksen","10.31234/osf.io/5qg4h","04.06.20","2020","0","1","1","0","0","0","working paper/ in-progress work"
"22","Incremental hypothesis revision in causal reasoning across development","1","Rebekah Gelpi, Ben Prystawski, Christopher Lucas, Daphna Buchsbaum","10.31234/osf.io/nyahu","04.06.20","2020","0","0","0","0","0","0",""
"23","HyPyP: a Hyperscanning Python Pipeline for inter-brain connectivity analysis","1","Anaël Ayrolles, Florence Brun, Phoebe Chen, Amir Djalovski, Yann Beauxis, Richard Delorme, Thomas Bourgeron, Suzanne Dikker, Guillaume Dumas","10.31234/osf.io/x5apu","04.06.20","2020","0","0","0","0","0","0",""
"24","Worse is Bad: Divergent Inferences From Logically Equivalent Comparisons","1","Yoel Inbar, Ellen Evers","10.31234/osf.io/ueymx","04.06.20","2019","0","0","0","0","0","0",""
"25","COVID-19 exposes enduring inequalities for children & families","1","Eileen Condon, Amanda Dettmer, Dylan Gee, Cheyanne Hagan, Ka Shu Lee, Linda Mayes, Carla Stover, Wan-Ling Tseng","10.31234/osf.io/28vsj","04.06.20","2020","0","0","0","0","0","0",""
"26","Towards a formal neurophenomenology of metacognition: modelling meta-awareness, mental action, and attentional control with deep active inference","1","Lars Sandved Smith, Casper Hesp, Antoine Lutz, Jérémie Mattout, Karl Friston, Maxwell Ramstead","10.31234/osf.io/5jh3c","04.06.20","2020","0","0","0","0","0","0",""
"27","High attentional load enhances the susceptibility to non-speech audiovisual illusions","1","Georgios Michail, Julian Keil","10.31234/osf.io/8j2gb","04.06.20","2018","1","0","0","0","0","0",""
"28","A within-person approach to the relation between quality of task motivation, performance and job satisfaction in everyday working life","1","Koen Hogenelst, Roos Schelvis, Tanja Krone, Marylène Gagné, Matti Heino, Keegan Knittle, Nelli Hankonen","10.31234/osf.io/v37x9","04.06.20","2020","0","0","0","0","0","0",""
"29","The use of immersive 360° videos for foreign language learning: a study on usage and efficacy among high-school students","1","Claudia Repetto, Anna Flavia Di Natale, Daniela Villani, Stefano Triberti, Serena Germagnoli, Giuseppe Riva","10.31234/osf.io/5b7y2","04.06.20","2020","0","0","0","0","0","0",""
"30","People Who Need People (and Some Who Think They Don't): On Compensatory Personal and Social Means of Goal Pursuit","1","Maxim Milyavsky, Arie W. Kruglanski, Michele Gelfand, Marina Chernikova, Antonio Pierro","10.31234/osf.io/huyb4","04.06.20","2020","0","0","0","0","0","0",""
"31","Illusory Snakes Might Be Due to Asynchronized Respective Field Remapping","1","Ahmad Yousef","10.31234/osf.io/ve4s8","04.06.20","2019","0","0","0","0","0","0",""
"32","Too early to declare a general law of social mobility and heritability for education (reply to Engzell and Tropf, 2019)","1","Damien Morris","10.31234/osf.io/vkn7m","04.06.20","2020","0","0","0","0","0","0","Reply"
"33","Language models explain word reading times better than empirical predictability","1","Markus Hofmann, Steffen Remus, Chris Biemann, Ralph Radach","10.31234/osf.io/u43p7","","2020","0","1","1","0","0","0","manuscript, submitted for publication"
"34","Predictors of perceived teachers' and school counsellors’ work stress in the transition period of online education in schools during the COVID-19 pandemic","1","Katja Košir, Špela Dugonik, Adelisa Huskić, Jure Gračner, Zala Kokol, Živa Krajnc","10.31234/osf.io/gj3e5","04.06.20","2020","0","0","0","0","0","0",""
"35","Language Style Matching : A Comprehensive List of Articles and Tools","1","Heather Shaw, Paul Taylor, Stacey Conchie, David Ellis","10.31234/osf.io/yz4br","04.06.20","2019","0","0","0","0","0","0","List of Articles and Tools"
"36","Impact of Image-and-text and Text-only Health Warning Labels on Selection and Consumption of Food and Alcohol Products: Systematic Review with Meta-analysis","1","Natasha Clarke, Emily Pechey, Daina Kosīte, Laura König, Eleni Mantzari, Anna Blackwell, Theresa Marteau, Gareth Hollands","10.31234/osf.io/jt52m","04.06.20","2019","0","2","1","0","0","0",""
"37","Emotion, entropy evaluations and subjective uncertainty","1","Lara Bertram, Eric Schulz, Matthias Hofer, Jonathan D. Nelson","10.31234/osf.io/63y45","04.06.20","2020","0","0","0","0","0","0",""
"38","Working Memory Capacity Predicts Individual Differences in Social Distancing Compliance during the COVID-19 Pandemic in the U.S.","1","Weizhen Xie, Stephen Campbell, Weiwei Zhang","10.31234/osf.io/3j69f","04.06.20","2020","0","0","0","0","0","0",""
"39","More Useful to You: Overestimating Products’ Usefulness to Others Because Of Self-Serving Materialism Attributions","1","Ignazio Ziano, Daniel Villanova","10.31234/osf.io/938m7","04.06.20","2019","0","1","2","0","0","0","""This paper is under peer-review"""
"40","A shortened version of Raven’s Standard Progressive Matrices for children and adolescents","1","Anna Langener, Anne-Wil Kramer, Wouter van den Bos, Hilde Huizenga","10.31234/osf.io/fnjh2","04.06.20","2020","0","2","1","0","0","0","has not yet been accepted for publication in a peer-reviewed journal."
"41","Mental Images Of Suicide: Theoretical Framework And Preliminary Findings In Youth","1","Magdalene de Rozario, Laura van Velzen, Pemma Davies, Simon Rice, Chris Davey, Jo Robinson, Mario Alvarez-Jimenez, Kelly Allott, Ben McKechnie, Kim Felmingham, Lianne Schmaal","10.31234/osf.io/6cyrp","04.06.20","2020","0","0","0","0","0","0",""
"42","Cross-cultural data shows musical scales evolved to maximise imperfect fifths","1","John Mcbride, Tsvi Tlusty","10.31234/osf.io/a97x4","04.06.20","2019","0","0","0","0","0","0",""
"43","An optimal dichotic-listening paradigm for the assessment of hemispheric dominance for speech processing","1","René Westerhausen, Fredrik Samuelsen","10.31234/osf.io/tpjes","04.06.20","2020","0","0","0","0","0","0",""
"44","Confidence Intervals on Implicit Association Test Scores Are Really Rather Large
","1","Colin Klein","10.31234/osf.io/5djkh","04.06.20","2020","0","0","0","0","0","0",""
"45","WORCS: A Workflow for Open Reproducible Code in Science","1","Caspar Van Lissa, Andreas Brandmaier, Loek Brinkman, Anna-Lena Lamprecht, Aaron Peikert, Marijn Struiksma, Barbara Vreede","10.31234/osf.io/k4wde","04.06.20","2020","0","2","1","0","0","0",""
"46","Predictive Processing: Avoiding the elephant in the room","1","Colin Klein","10.31234/osf.io/vdswk","04.06.20","2020","0","2","3","0","0","0","letter"
"47","Adaptive and Dark Personality Traits in the Covid-19 Pandemic: Predicting Health-behavior Endorsement and the Appeal of Public-health Messages","1","Pavel Blagov","10.31234/osf.io/chgkn","04.06.20","2020","0","1","2","0","0","0","manuscript under review, "
"48","When in doubt, it’s not out: Match format is associated with changes in elite-level cricket umpires' leg-before-wicket decisions.","1","Joshua Adie, Ian Renshaw, Remco Polman, Matthew Thompson, David L. Mann","10.31234/osf.io/2e6qh","04.06.20","2020","0","0","0","0","0","0",""
"49","UNSW Face Test: A screening tool for super-recognizers","1","James Dunn, Stephanie Summersby, Alice Towler,, Josh Davis, David White","10.31234/osf.io/k7mf6","04.06.20","2020","0","0","0","0","0","0",""
"50","How Stress Physically Re-shapes the Brain: Impact on Brain Cell Shapes, Numbers and Connections in Psychiatric Disorders","1","Dominic Kaul, Sibylle Schwab, Naguib Mechawar, Natalie Matosin","10.31234/osf.io/f3nj8","04.06.20","2019","0","0","0","0","0","0",""
"51","The Effects of Smoking on Mood, Rapport, and Satisfaction in Conversation among Japanese Smokers in A First Meeting: A Randomized Controlled Trial","1","Kengo Yokomitsu, Keita Somatori, Tomonari Irie","10.31234/osf.io/ny2bq","04.06.20","2020","0","0","0","0","0","0",""
"52","A short-form version of the Intolerance of Uncertainty Scale: Initial development of the IUS-5","1","Gioia Bottesi, Lauren Mawn, Raquel Nogueira-Arjona, Pablo Romero Sanchiz, Meropi Simou, Gregoris Simos, Ashley Tiplady, Mark Freeston","10.31234/osf.io/b62wf","04.06.20","2020","0","0","0","0","0","0",""
"53","Assessing Change in Intervention Research: The Benefits of Composite Outcomes
","1","David Moreau, Kristina Wiebels","10.31234/osf.io/t9hw3","04.06.20","2020","1","0","0","0","0","0","In press at Advances in Methods and Practices in Psychological Science"
"54","Linking RDoC and HiTOP: A new interface for advancing psychiatric nosology and neuroscience
","1","Giorgia Michelini, Isabella Palumbo, Colin G. DeYoung, Robert Latzman, Roman Kotov","10.31234/osf.io/ps7tc","04.06.20","2020","0","0","0","0","0","0",""
"55","The Role of Executive Function in Shaping Reinforcement Learning","1","Milena Rmus, Samuel McDougle, Anne Collins","10.31234/osf.io/9cvw3","04.06.20","2020","0","0","0","0","0","0",""
"56","Pictorial Depth Cues in Young Children’s Drawings of Layouts and Objects
","1","Théo Morfoisse, Todd Gureckis, Moira Dillon","10.31234/osf.io/sjk8h","04.06.20","2020","0","0","0","0","0","0",""
"57","Differential involvement of working memory capacity and fluid intelligence in verbal associative learning as a possible function of strategy-use","1","David Martinez","10.31234/osf.io/efa43","04.06.20","2020","0","0","0","0","0","0",""
"58","Conceptually-cued perceptual categorization in adult L2 learners
","1","Cristina Argüelles, Laura Arroyo, Nicole Rodriguez, Ezequiel Durand López, Juan Pozu, Jennifer Markovits, Jessica Varela, Núria de Rocafiguera, Joseph Casillas","10.31234/osf.io/adkn8","04.06.20","2020","2","0","0","0","0","0"," We also thank  [...] as well as two anonymous reviewers for comments and recommendations. (also accepted for publication)"
"59","Overprecision increases subsequent surprise","1","Don Moore, Derek Schatz","10.31234/osf.io/wfcbv","04.06.20","2020","1","0","0","0","0","0","In press at PLoS One"
"60","COVIDiSTRESS Global Survey dataset on psychological and behavioural consequences of the COVID-19 outbreak
","1","Yuki Yamada, Dominik-Borna Ćepulić, Tao Coll-Martín, Stephane Debove, Guillaume Gautreau, Hyemin Han, Jesper Rasmussen, Thao Tran, Giovanni Travaglino, Andreas Lieberoth","10.31234/osf.io/v7cep","04.06.20","2020","0","0","0","0","0","0",""
"61","CiwGAN and fiwGAN: Encoding information in acoustic data to model lexical learning with Generative Adversarial Networks","1","Gasper Begus","10.31234/osf.io/mwb5u","04.06.20","2020","0","2","3","0","0","0","Preprint submitted to tbd"
"62","Are content effects out of sight? An eye-tracking study of arithmetic problem solving
","1","Hippolyte Gros, Emmanuel Sander, Jean- Pierre Thibaut","10.31234/osf.io/gbk6n","04.06.20","2020","0","0","0","0","0","0",""
"63","Stress affects the prediction of others’ behavior
","1","Sarah Witt, Sabine Seehagen, Norbert Zmyj","10.31234/osf.io/jbswq","04.06.20","2020","0","0","0","0","0","0",""
"64","Reading Mindset Measure","1","Stephanie Al Otaiba, Brenna Rivas, Francesca Jones, Yaacov Petscher, Jeanne Wanzek","10.31234/osf.io/38eda","04.06.20","2020","0","0","0","0","0","0","nur ein measuring item"
"65","Flames Boost Motion Perceived Speed
","1","Ahmad Yousef","10.31234/osf.io/qvsa8","04.06.20","2020","0","0","0","0","0","0",""
"66","Am I a Science Person? A Strong Science Identity Bolsters Minority Students’ Sense of Belonging and Performance in College
","1","Susie Chen, Kevin Binning, Kody Manke, Shannon Brady, Erica M. McGreevy, Laura Betancur, Lisa B. Limeri, Nancy Kaufmann","10.31234/osf.io/u4z7d","04.06.20","2020","1","0","0","0","0","0","In press in Personality and Social Psychology Bulletin"
"67","Social participation, inclusion and mental well-being following SARS-CoV-2 related lockdown restrictions in adults with and without mental disorders. Results from a follow-up study in Germany
","1","Matthias Schützwohl, Eduard Mergel","10.31234/osf.io/6svxw","04.06.20","2020","0","1","1","0","0","0","preliminary work"
"68","Is empathy the default response to suffering? A meta-analytic evaluation of perspective-taking’s effect on empathic concern","1","William McAuliffe, Evan Carter, Juliana Berhane, Alexander Snihur, Michael McCullough","10.31234/osf.io/bwxm9","04.06.20","2019","1","0","0","0","0","0","peer-review doi"
"69","The development and testing of an online scenario-based learning activity to prepare preservice teachers for teaching placements","1","Robert Klassen, Lisa Bardach, Jade V. Rushby, Liz Maxwell, Tracy Durksen, Lynn Sheridan","10.31234/osf.io/sz2xy","04.06.20","2020","0","1","1","0","0","0","Working Paper"" In progress work"
"70","The Goldsmiths Dance Sophistication Index (Gold-DSI): a new psychometric tool to assess individual differences in dance experience.
","1","Dawn Rose, Daniel Müllensiefen, Peter Lovatt, Guido Orgs","10.31234/osf.io/wapkx","04.06.20","2020","0","0","0","0","0","0",""
"71","Psychological responses during the COVID-19 outbreak among university students in Bangladesh","1","Saiful Islam, Safaet Hossain Sujan, Rafia Tasnim, Tajuddin Sikder, Marc N. Potenza, Jim Van Os","10.31234/osf.io/cndz7","04.06.20","2020","0","0","0","0","0","0",""
"72","On the Equivalency of Factor and Network Loadings","1","Alexander Christensen, Hudson Golino","10.31234/osf.io/xakez","04.06.20","2020","0","2","2","0","0","0",""
"73","Paradoxical sensory reactivity induced by functional disconnection in a robot model of neurodevelopmental disorder","1","Hayato Idei, Shingo Murata, Yuichi Yamashita, Tetsuya Ogata","10.31234/osf.io/679ry","04.06.20","2020","0","0","0","0","0","0",""
"74","Homogeneous intrinsic neuronal excitability induces overfitting to sensory noise: A robot model of neurodevelopmental disorder
","1","Hayato Idei, Shingo Murata, Yuichi Yamashita, Tetsuya Ogata","10.31234/osf.io/ah89z","04.06.20","2020","0","0","0","0","0","0",""
"75","Teaching undergraduate students to read empirical articles: An evaluation and revision of the QALMRI method","1","Nicholaus Brosowsky, Olga Parshina, Anthony Locicero, Matthew Crump","10.31234/osf.io/p39sc","04.06.20","2020","0","2","3","0","0","0",""
"76","How many observations is one generic worth?","1","Michael Tessler, Sophie Bridgers, Joshua B. Tenenbaum","10.31234/osf.io/cyhmu","04.06.20","2020","0","0","0","0","0","0",""
"77","Never Too Much – The Benefit of Talent to Team Performance in the NBA: Comment on Swaab et al. (2014)","1","Bartosz Gula, Nemanja Vaci, Rainer Alexandrowicz, Merim Bilalic","10.31234/osf.io/hcqaw","04.06.20","2020","0","0","0","0","0","0",""
"78","Sexual orientation predicts men’s preferences for sexually dimorphic face-shape characteristics
","1","Victor Kenji Shiramizu, Ciaran Docherty, Lisa DeBruine, Benedict Jones","10.31234/osf.io/9kyur","04.06.20","2020","0","0","0","0","0","0",""
"79","Trust Among Siblings is Intuitive
","1","Victor Kenji ShiramizuIris, Iris Holzleitner, Kieran O'Shea, Vanessa Fasolt, Lisa DeBruine","10.31234/osf.io/da8yu","04.06.20","2019","0","0","0","0","0","0",""
"80","The Moon Illusion Explained by Visual Motion Perception
","1","Ahmad Yousef","10.31234/osf.io/x7jbw","04.06.20","2020","0","0","0","0","0","0",""
"81","Nine steps toward a better personality science
","1","Daniel Leising, Isabel Thielmann, Andreas Glöckner, Anne Gärtner, Felix Schönbrodt","10.31234/osf.io/6btc3","04.06.20","2020","0","1","3","0","0","0"," Manuscript under developent - It will ultimately be submitted to the new eapp/ZPID journal Personality Sciencefor review."
"82","Beyond the ticked box: organ donation decision-making under different registration systems","1","Esther Steenaart, Rik Crutzen, Nanne de Vries","10.31234/osf.io/stfru","04.06.20","2020","0","0","0","0","0","0",""
"83","A novel prognostic factor TRIM44 promotes cell proliferation and migration and inhibits apoptosis in testicular germ cell tumors1","1","Lungwani Muungo","10.31234/osf.io/ec3q5","04.06.20","2020","1","0","0","0","0","0","peer-review doi"
"84","Do Not You Hear the Color of the Sound? The Experience of Synesthesia","1","Leyla Alma-Uzuntuna, Sami Çoksan, Müjde Koca-Atabey","10.31234/osf.io/mjf3d","04.06.20","2020","0","1","2","0","0","0","current manuscript"
"85","A climatic context for the out-of-Africa migrationsaa
","1","Lungwani Muungo","10.31234/osf.io/7ky8x","04.06.20","2020","1","0","0","0","0","0","published online"
"86","Psychological wellbeing during the global COVID-19 outbreak","1","Rui Sun, Alisa Balabanova, Claude Bajada, Yang Liu, Mariia Kriuchok, Silja-Riin Voolma, Mirna Đurić, Claude-Hélène Mayer, Maria Constantinou, Mariam Chichua, Chengcheng Li, Ashley Foster-Estwick, Kurt Borg, Carin Hill, Rishabh Kaushal, Ketaki Diwan, Valeria Vitale, Tiarah Engels, Rabiah Amin, Irina Ursu, Tengku Fadhlia, Yi-jung Wu, Lusanda Sekaja, Milad Hadchity, Anita Deak, Shahira Sharaf, Pau Figueras, Anthony Kaziboni, Aoife Whiston, Kalliopi Ioumpa, Alfredo Montelongo, Lisanne Pauw, Gabriela Pavarini, Evgeniya Vedernikova, Tuong-Van Vu, Lauri Nummenmaa, Yong-Qi Cong, Milica Nikolic, Andrea Olguin, Wai Kai Hou, Jacob Israelashvili, Hyunjin J. Koo, Samaneh Khademi, Chinwendu Ukachukwu, Damian Omari Juma, Roza Kamiloglu, Akerke Makhmud, Peter Sigurdson Lunga, Carlotta Rieble, Muhammad Rizwan, Mai Helmy, Laura Vuillier, Kunalan Manokara, Enzo Caceres Quezada, Delgermend Tserendamba, Michiko Yoshie, Amy H. Du, Kumba Philip-Joe, Pála Björk Kúld, Kalifa Damani, Annabella Osei-Tutu, Disa Sauter","10.31234/osf.io/r7xaz","04.06.20","2020","0","0","0","0","0","0",""
"87","An introduction to the emotional impact modeling method of an event
","1","Hind Zaaraoui ","10.31234/osf.io/8svbt","04.06.20","2020","0","0","0","0","0","0",""
"88","ALICE: An open-source tool for automatic measurement of phoneme, syllable, and word counts from child-centered daylong recordings
","1","Okko Räsänen, Shreyas Seshadri, Marvin Lavechin, Alejandrina Cristia, Marisa Casillas","10.31234/osf.io/p95dz","04.06.20","2020","0","0","0","0","0","0",""
"89","Bayesian confidence in optimal decisions","1","Joshua Calder-Travis, Lucie Charles, Rafal Bogacz, Nick Yeung","10.31234/osf.io/j8sxz","04.06.20","2020","0","0","0","0","0","0",""
"90","Consistent Verbal Labels Promote Category Learning
","1","Norbert Vanek, Marton Soskuthy, Asifa Majid","10.31234/osf.io/2csa8","04.06.20","2020","0","0","0","0","0","0",""
"91","Why has the COVID-19 pandemic increased support for Universal Basic Income?
","1","Daniel Nettle, Elliott Johnson, Matthew Johnson, Rebecca Saxe","10.31234/osf.io/csr3u","04.06.20","2020","0","1","0","0","0","0","Version 1"
"92","The Oxford Cognitive Screen – Plus (OCS-Plus): A digital, tablet-based, brief cognitive assessment","1","Nele Demeyere, Marleen Haupt, Sam S. Webb, Lea Strobel, Elise Milosevich, Margaret Moore, Hayley Wright, Kathrin Finke, Mihaela Duta","10.31234/osf.io/b2vgc","04.06.20","2020","0","0","0","0","0","0",""
"93","“They don’t know better than I do”: People are reluctant to rely on the wisdom of crowds in individual decision making","1","Merav Yonah, Yoav Kessler","10.31234/osf.io/z8nr2","04.06.20","2020","0","0","0","0","0","0",""
"94","Feeling Threatened by Immigrants: The Role of Ideology and Subjective Societal Status
","1","Michael Bollwerk, Bernd Schlipphak, Joscha Stecker, Jens Hellmann, Gerald Echterhoff, Mitja Back","10.31234/osf.io/6dw4y","04.06.20","2020","0","0","0","0","0","0",""
"95","Honesty Pledges for the Behaviorally-based Regulation of Dishonesty","1","Eyal Peer, Yuval Feldman","10.31234/osf.io/pr78t","04.06.20","2020","0","0","0","0","0","0",""
"96","A Reanalysis of the Survey-based Navigation Strategy Scale based on Item Response Theory","1","Jimmy Zhong","10.31234/osf.io/6f8z2","04.06.20","2018","2","0","0","0","0","0",""
"97","COVID-19 Public Sentiment Insights and Machine Learning for Tweets Classification
","1","Jim Samuel, Mokhlesur Rahman, G.G.M.N. Ali, Ek Esawi, Y. Samuel","10.31234/osf.io/sw2dn","04.06.20","2020","0","1","3","0","0","0","Version 1"
"98","Feeling Positive About Reopening? New Normal Scenarios from COVID-19 Reopen Sentiment Analytics","1","Jim Samuel, Mokhlesur Rahman, G.G.M.N. Ali, Y. Samuel, A. Pelaez, P. H.J. Chong, M. Yakubov","10.31234/osf.io/rp6vt","04.06.20","2020","0","0","0","0","0","0",""
"99","Explaining the Alcohol Immigrant Paradox: Perspectives from Mexican American Adults
","1","P. Priscilla Lui, Yuying Tsong, Savannah Pham, Banan Ramadan, Lucia Quezada, Michelle Del Rio, Byron L. Zamboanga","10.31234/osf.io/kzaec","04.06.20","2020","1","0","0","0","0","0","Accepted for publication in the Journal of Latinx Psychology"
"100","Development and validation of the Japanese version Fear of COVID-19 Scale among adolescents.
","1","Akihiro Masuyama, Hiroki Shinkawa, Takahiro kubo","10.31234/osf.io/jkmut","04.06.20","2020","0","0","0","0","0","0",""
"101","The Mediating Role of Reasoned-Action and Automatic Processes from Past-to-Future Behavior","1","Daniel Brown, Martin Hagger, Kyra Hamilton","10.31234/osf.io/qrm5b","04.06.20","2019","2","0","0","0","0","0",""
"102","Can coherence-based interventions change dogged moral beliefs?
","1","Zachary Horne, Josh Rottman, Caroline Lawrence","10.31234/osf.io/jx6fd","04.06.20","2018","0","0","0","0","0","0",""
"103","Pre-exposure to ambiguous faces modulates top-down control of attentional orienting to counterpredictive gaze cues","1","Abdulaziz Abubshait, Ali Momen, Eva Wiese","10.31234/osf.io/7ezpb","04.06.20","2020","0","0","0","0","0","0",""
"104","Let’s introduce order into Gestalt terminology: Method, concepts and techniques, and their development after 70 years of Gestalt psychotherapy","1","Mariola Paruzel-Czachura, Bartosz Konieczniak","10.31234/osf.io/mxsd2","04.06.20","2020","0","0","2","0","0","0",""
"105","The influence of disagreement on children's source memory performance","1","Johannes Mahr, Olivier Mascaro, Hugo Mercier, Gergely Csibra","10.31234/osf.io/r6us7","04.06.20","2020","0","0","0","0","0","0",""
"106","Culture and Epistemically Suspect Beliefs","1","Yoshimasa Majima, Alexander Walker, Martin Turpin, Jonathan Fugelsang","10.31234/osf.io/qmtn6","04.06.20","2020","0","2","1","0","0","0",""
"107","From babble to words: Infants’ early productions match words and objects in their environment
","1","Catherine Laing, Elika Bergelson","10.31234/osf.io/wp3n4
","04.06.20","2020","0","0","0","0","0","0",""
"108","Preregistration is for Planning
","1","Jonathon McPhetres","10.31234/osf.io/cj5mh","04.06.20","2020","0","2","0","0","0","0",""
"109","Disorder-specific alterations of tactile sensitivity in neurodevelopmental disorders","1","Jason He, Ericka Wodka, Mark Tommerdahl, Richard Edden, Mark Mikkelsen, Stewart Mostofsky, Nicolaas Puts","10.31234/osf.io/ay73t","04.06.20","2020","0","0","0","0","0","0",""
"110","A few questions regarding perceptual filling-in of the blind spot","1","Bernt Skottun","10.31234/osf.io/jvhdm","04.06.20","2020","0","0","0","0","0","0",""
"111","Selection of the Number of Participants in Intensive Longitudinal Studies: A User-friendly Shiny App and Tutorial to Perform Power Analysis
","1","Ginette Lafit,Janne Adolf, Egon Dejonckheere, Inez Myin-Germeys, Wolfgang Viechtbauer, Eva Ceulemans","10.31234/osf.io/dq6ky","04.06.20","2020","0","0","0","0","0","0",""
"112","Are Adolescents More Optimal Decision-Makers in Novel Environments? Examining Exploration and Learning in a Patch Foraging Paradigm","1","Alex Lloyd, Ryan McKay, Catherine Sebastian, Joshua Balsters","10.31234/osf.io/ypknq","04.06.20","2020","0","1","3","0","0","0","submitted manuscript"
"113","Does autism affect children’s identification of ownership and defence of ownership rights?
","1","Calum Hartley, Nina Harrison, John Shaw","10.31234/osf.io/p8rk4","04.06.20","2020","0","0","0","0","0","0",""
"114","Ratios in the evolutionary behavioural sciences: problems and solutions
","1","Thomas Richardson","10.31234/osf.io/j7vem","04.06.20","2020","0","0","0","0","0","0",""
"115","The Perception of Economic Inequality Weakens Americans’ Beliefs in Both Upward and Downward Socioeconomic Mobility
","1","Alexander Browman, Mesmin Destin, David B. Miele","10.31234/osf.io/25cd6","04.06.20","2019","0","0","0","0","0","0",""
"116","War Commemorations 5 Nations Pre-print 2020","1","Hanne WatkinsAurélien AllardMengyao LiBernhard Leidner","10.31234/osf.io/fqsgu","18.06.20","2020","0","2","2","0","0","0",""
